DATE,COUNTRY,YEAR,HFA
1993-07-22,ENG,1993,95.3
1994-07-22,ENG,1994,75.4
1995-07-22,ENG,1995,91.6
1996-07-22,ENG,1996,76.0
1997-07-22,ENG,1997,83.5
1998-07-22,ENG,1998,82.9
1999-07-22,ENG,1999,75.6
2000-07-22,ENG,2000,82.8
2001-07-22,ENG,2001,70.3
2002-07-22,ENG,2002,67.0
2003-07-22,ENG,2003,68.9
2004-07-22,ENG,2004,69.1
2005-07-22,ENG,2005,70.5
2006-07-22,ENG,2006,76.0
2007-07-22,ENG,2007,71.9
2008-07-22,ENG,2008,73.0
2009-07-22,ENG,2009,67.6
2010-07-22,ENG,2010,89.3
2011-07-22,ENG,2011,73.4
2012-07-22,ENG,2012,57.2
2013-07-22,ENG,2013,59.1
2014-07-22,ENG,2014,48.5
2015-07-22,ENG,2015,53.3
2016-07-22,ENG,2016,54.5
2017-07-22,ENG,2017,73.9
2018-07-22,ENG,2018,67.1
2019-07-22,ENG,2019,66.7
2020-07-22,ENG,2020,45.6
2021-07-22,ENG,2021,21.2
2022-07-22,ENG,2022,43.7
