DATE,COUNTRY,YEAR,HFA
1993-07-22,GER,1993,115.4
1994-07-22,GER,1994,104.1
1995-07-22,GER,1995,99.0
1996-07-22,GER,1996,89.7
1997-07-22,GER,1997,103.0
1998-07-22,GER,1998,72.2
1999-07-22,GER,1999,84.7
2000-07-22,GER,2000,90.4
2001-07-22,GER,2001,92.6
2002-07-22,GER,2002,97.8
2003-07-22,GER,2003,81.9
2004-07-22,GER,2004,97.5
2005-07-22,GER,2005,83.0
2006-07-22,GER,2006,73.5
2007-07-22,GER,2007,56.1
2008-07-22,GER,2008,79.0
2009-07-22,GER,2009,81.9
2010-07-22,GER,2010,66.8
2011-07-22,GER,2011,67.4
2012-07-22,GER,2012,74.0
2013-07-22,GER,2013,57.5
2014-07-22,GER,2014,55.0
2015-07-22,GER,2015,65.1
2016-07-22,GER,2016,51.3
2017-07-22,GER,2017,68.1
2018-07-22,GER,2018,60.3
2019-07-22,GER,2019,59.6
2020-07-22,GER,2020,37.0
2021-07-22,GER,2021,49.9
2022-07-22,GER,2022,46.8
