DATE,COUNTRY,YEAR,HFA
1993-07-22,ITA,1993,107.7
1994-07-22,ITA,1994,114.3
1995-07-22,ITA,1995,111.3
1996-07-22,ITA,1996,125.6
1997-07-22,ITA,1997,99.8
1998-07-22,ITA,1998,100.4
1999-07-22,ITA,1999,105.5
2000-07-22,ITA,2000,117.8
2001-07-22,ITA,2001,92.5
2002-07-22,ITA,2002,85.9
2003-07-22,ITA,2003,98.1
2004-07-22,ITA,2004,92.6
2005-07-22,ITA,2005,88.1
2006-07-22,ITA,2006,86.6
2007-07-22,ITA,2007,82.1
2008-07-22,ITA,2008,82.4
2009-07-22,ITA,2009,84.3
2010-07-22,ITA,2010,73.4
2011-07-22,ITA,2011,69.5
2012-07-22,ITA,2012,63.4
2013-07-22,ITA,2013,57.0
2014-07-22,ITA,2014,53.0
2015-07-22,ITA,2015,64.2
2016-07-22,ITA,2016,68.2
2017-07-22,ITA,2017,73.4
2018-07-22,ITA,2018,59.1
2019-07-22,ITA,2019,72.5
2020-07-22,ITA,2020,52.8
2021-07-22,ITA,2021,42.8
2022-07-22,ITA,2022,41.1
