,DATE,COUNTRY,YEAR,HFA
72,1993-07-22,ENG,1993,95.3
73,1994-07-22,ENG,1994,75.4
74,1995-07-22,ENG,1995,91.6
75,1996-07-22,ENG,1996,76.0
76,1997-07-22,ENG,1997,83.5
77,1998-07-22,ENG,1998,82.9
78,1999-07-22,ENG,1999,75.6
79,2000-07-22,ENG,2000,82.8
80,2001-07-22,ENG,2001,70.3
81,2002-07-22,ENG,2002,67.0
82,2003-07-22,ENG,2003,68.9
83,2004-07-22,ENG,2004,69.1
48,2005-07-22,ENG,2005,70.5
49,2006-07-22,ENG,2006,76.0
50,2007-07-22,ENG,2007,71.9
51,2008-07-22,ENG,2008,73.0
52,2009-07-22,ENG,2009,67.6
53,2010-07-22,ENG,2010,89.3
40,2011-07-22,ENG,2011,73.4
41,2012-07-22,ENG,2012,57.2
8,2013-07-22,ENG,2013,59.1
9,2014-07-22,ENG,2014,48.5
10,2015-07-22,ENG,2015,53.3
11,2016-07-22,ENG,2016,54.5
12,2017-07-22,ENG,2017,73.9
13,2018-07-22,ENG,2018,67.1
14,2019-07-22,ENG,2019,66.7
15,2020-07-22,ENG,2020,45.6
0,2021-07-22,ENG,2021,21.2
1,2022-07-22,ENG,2022,43.7
96,1993-07-22,ESP,1993,98.6
97,1994-07-22,ESP,1994,102.9
98,1995-07-22,ESP,1995,90.5
99,1996-07-22,ESP,1996,65.1
100,1997-07-22,ESP,1997,86.3
101,1998-07-22,ESP,1998,90.9
102,1999-07-22,ESP,1999,87.5
103,2000-07-22,ESP,2000,78.3
104,2001-07-22,ESP,2001,89.1
105,2002-07-22,ESP,2002,69.3
106,2003-07-22,ESP,2003,62.6
107,2004-07-22,ESP,2004,65.1
60,2005-07-22,ESP,2005,55.9
61,2006-07-22,ESP,2006,66.2
62,2007-07-22,ESP,2007,62.2
63,2008-07-22,ESP,2008,71.4
64,2009-07-22,ESP,2009,75.4
65,2010-07-22,ESP,2010,84.6
44,2011-07-22,ESP,2011,98.8
45,2012-07-22,ESP,2012,84.1
24,2013-07-22,ESP,2013,91.5
25,2014-07-22,ESP,2014,74.5
26,2015-07-22,ESP,2015,68.0
27,2016-07-22,ESP,2016,83.2
28,2017-07-22,ESP,2017,84.3
29,2018-07-22,ESP,2018,85.1
30,2019-07-22,ESP,2019,82.2
31,2020-07-22,ESP,2020,67.4
4,2021-07-22,ESP,2021,54.5
5,2022-07-22,ESP,2022,56.4
84,1993-07-22,GER,1993,115.4
85,1994-07-22,GER,1994,104.1
86,1995-07-22,GER,1995,99.0
87,1996-07-22,GER,1996,89.7
88,1997-07-22,GER,1997,103.0
89,1998-07-22,GER,1998,72.2
90,1999-07-22,GER,1999,84.7
91,2000-07-22,GER,2000,90.4
92,2001-07-22,GER,2001,92.6
93,2002-07-22,GER,2002,97.8
94,2003-07-22,GER,2003,81.9
95,2004-07-22,GER,2004,97.5
54,2005-07-22,GER,2005,83.0
55,2006-07-22,GER,2006,73.5
56,2007-07-22,GER,2007,56.1
57,2008-07-22,GER,2008,79.0
58,2009-07-22,GER,2009,81.9
59,2010-07-22,GER,2010,66.8
42,2011-07-22,GER,2011,67.4
43,2012-07-22,GER,2012,74.0
16,2013-07-22,GER,2013,57.5
17,2014-07-22,GER,2014,55.0
18,2015-07-22,GER,2015,65.1
19,2016-07-22,GER,2016,51.3
20,2017-07-22,GER,2017,68.1
21,2018-07-22,GER,2018,60.3
22,2019-07-22,GER,2019,59.6
23,2020-07-22,GER,2020,37.0
2,2021-07-22,GER,2021,49.9
3,2022-07-22,GER,2022,46.8
108,1993-07-22,ITA,1993,107.7
109,1994-07-22,ITA,1994,114.3
110,1995-07-22,ITA,1995,111.3
111,1996-07-22,ITA,1996,125.6
112,1997-07-22,ITA,1997,99.8
113,1998-07-22,ITA,1998,100.4
114,1999-07-22,ITA,1999,105.5
115,2000-07-22,ITA,2000,117.8
116,2001-07-22,ITA,2001,92.5
117,2002-07-22,ITA,2002,85.9
118,2003-07-22,ITA,2003,98.1
119,2004-07-22,ITA,2004,92.6
66,2005-07-22,ITA,2005,88.1
67,2006-07-22,ITA,2006,86.6
68,2007-07-22,ITA,2007,82.1
69,2008-07-22,ITA,2008,82.4
70,2009-07-22,ITA,2009,84.3
71,2010-07-22,ITA,2010,73.4
46,2011-07-22,ITA,2011,69.5
47,2012-07-22,ITA,2012,63.4
32,2013-07-22,ITA,2013,57.0
33,2014-07-22,ITA,2014,53.0
34,2015-07-22,ITA,2015,64.2
35,2016-07-22,ITA,2016,68.2
36,2017-07-22,ITA,2017,73.4
37,2018-07-22,ITA,2018,59.1
38,2019-07-22,ITA,2019,72.5
39,2020-07-22,ITA,2020,52.8
6,2021-07-22,ITA,2021,42.8
7,2022-07-22,ITA,2022,41.1
