,DATE,COUNTRY,YEAR,HFA
0,2013-07-22,ENG,2013,59.1
1,2014-07-22,ENG,2014,48.5
2,2015-07-22,ENG,2015,53.3
3,2016-07-22,ENG,2016,54.5
4,2017-07-22,ENG,2017,73.9
5,2018-07-22,ENG,2018,67.1
6,2019-07-22,ENG,2019,66.7
7,2020-07-22,ENG,2020,45.6
8,2013-07-22,GER,2013,57.5
9,2014-07-22,GER,2014,55.0
10,2015-07-22,GER,2015,65.1
11,2016-07-22,GER,2016,51.3
12,2017-07-22,GER,2017,68.1
13,2018-07-22,GER,2018,60.3
14,2019-07-22,GER,2019,59.6
15,2020-07-22,GER,2020,37.0
16,2013-07-22,ESP,2013,91.5
17,2014-07-22,ESP,2014,74.5
18,2015-07-22,ESP,2015,68.0
19,2016-07-22,ESP,2016,83.2
20,2017-07-22,ESP,2017,84.3
21,2018-07-22,ESP,2018,85.1
22,2019-07-22,ESP,2019,82.2
23,2020-07-22,ESP,2020,67.4
24,2013-07-22,ITA,2013,57.0
25,2014-07-22,ITA,2014,53.0
26,2015-07-22,ITA,2015,64.2
27,2016-07-22,ITA,2016,68.2
28,2017-07-22,ITA,2017,73.4
29,2018-07-22,ITA,2018,59.1
30,2019-07-22,ITA,2019,72.5
31,2020-07-22,ITA,2020,52.8
