,Club,Elo
0,Man United,1995.69995117
1,Liverpool,1979.61682129
2,Chelsea,1976.31420898
3,Arsenal,1894.91003418
4,Everton,1826.21105957
5,Aston Villa,1748.02075195
6,Tottenham,1742.99755859
7,Fulham,1733.80603027
8,Man City,1718.50231934
9,West Ham,1717.37658691
10,Blackburn,1693.78515625
11,Portsmouth,1666.60925293
12,Bolton,1665.72692871
13,Wigan,1660.23071289
14,Stoke,1646.1517334
15,Sunderland,1618.67529297
16,Birmingham,1608.33190918
17,Wolves,1594.50268555
18,Hull,1580.89624023
19,Burnley,1576.02685547
