,Rank,Club,Country,Level,Elo
0,1,Liverpool,ENG,1,2035.2298584
1,2,Man City,ENG,1,2025.36242676
4,5,Chelsea,ENG,1,1899.17883301
8,9,Tottenham,ENG,1,1866.82617188
11,12,Arsenal,ENG,1,1851.63745117
17,18,Man United,ENG,1,1810.87280273
22,23,West Ham,ENG,1,1783.21508789
23,24,Leicester,ENG,1,1779.56384277
28,29,Brighton,ENG,1,1760.24414062
30,31,Newcastle,ENG,1,1757.10473633
33,34,Crystal Palace,ENG,1,1754.06225586
35,36,Aston Villa,ENG,1,1740.72729492
42,43,Wolves,ENG,1,1725.27648926
47,48,Brentford,ENG,1,1714.46875
51,52,Leeds,ENG,1,1703.43566895
52,53,Everton,ENG,1,1699.1159668
62,63,Southampton,ENG,1,1671.81921387
80,81,Fulham,ENG,1,1636.16467285
86,87,Bournemouth,ENG,1,1630.49658203
99,100,Forest,ENG,1,1612.28491211
