,Club,Country,Level,Elo
91,Cardiff,ENG,2,1611.09838867
92,West Brom,ENG,2,1610.85205078
104,Fulham,ENG,2,1589.33032227
117,Derby,ENG,2,1571.16101074
138,Leeds,ENG,2,1549.63464355
140,Swansea,ENG,2,1547.65283203
141,Middlesbrough,ENG,2,1547.06652832
142,Brentford,ENG,2,1544.66308594
152,Bristol City,ENG,2,1534.3951416
156,Sheffield Weds,ENG,2,1528.32373047
163,Huddersfield,ENG,2,1525.95703125
166,Stoke,ENG,2,1525.06945801
171,Preston,ENG,2,1518.05895996
177,Hull,ENG,2,1508.30297852
182,Forest,ENG,2,1505.28723145
190,Birmingham,ENG,2,1500.16101074
226,Blackburn,ENG,2,1470.2019043
239,Wigan,ENG,2,1454.40234375
240,Millwall,ENG,2,1454.27062988
241,Reading,ENG,2,1453.42248535
252,QPR,ENG,2,1443.41125488
290,Barnsley,ENG,2,1418.28491211
291,Charlton,ENG,2,1418.28491211
292,Luton,ENG,2,1418.28491211
