,Club,Elo
0,Real Madrid,2083.35327148
1,Barcelona,2021.98327637
2,Atletico,1952.33215332
3,Sevilla,1813.90405273
4,Villarreal,1794.51208496
5,Bilbao,1782.44396973
6,Sociedad,1768.65930176
7,Malaga,1724.66015625
8,Espanyol,1724.09899902
9,Alaves,1713.95397949
10,Eibar,1712.85412598
11,Valencia,1708.51049805
12,Celta,1702.28710938
13,Levante,1655.87963867
14,Depor,1651.75073242
15,Getafe,1651.6862793
16,Betis,1644.42626953
17,Las Palmas,1635.07287598
18,Leganes,1628.94628906
19,Girona,1613.94885254
