,Rank,Club,Country,Level,Elo
2,3,Real Madrid,ESP,1,1983.21142578
6,7,Barcelona,ESP,1,1876.09997559
7,8,Atletico,ESP,1,1868.68554688
12,13,Villarreal,ESP,1,1840.61816406
15,16,Sevilla,ESP,1,1826.72570801
24,25,Betis,ESP,1,1779.06152344
31,32,Sociedad,ESP,1,1756.51818848
36,37,Bilbao,ESP,1,1739.39782715
49,50,Celta,ESP,1,1708.48352051
53,54,Valencia,ESP,1,1698.61218262
61,62,Getafe,ESP,1,1672.75061035
63,64,Osasuna,ESP,1,1669.61791992
72,73,Cadiz,ESP,1,1650.76013184
74,75,Espanyol,ESP,1,1647.77050781
75,76,Valladolid,ESP,1,1646.58581543
84,85,Elche,ESP,1,1631.16711426
87,88,Almeria,ESP,1,1630.37548828
93,94,Rayo Vallecano,ESP,1,1617.08569336
97,98,Mallorca,ESP,1,1615.2244873
100,None,Girona,ESP,1,1609.96350098
