,Club,Country,Level,Elo
2,Bayern,GER,1,1998.8458252
10,Dortmund,GER,1,1865.3236084
21,Hoffenheim,GER,1,1772.8458252
27,Leverkusen,GER,1,1728.48950195
28,Gladbach,GER,1,1724.93786621
30,RB Leipzig,GER,1,1724.26062012
32,Schalke,GER,1,1723.77478027
42,Koeln,GER,1,1711.84387207
48,Werder,GER,1,1701.7220459
53,Wolfsburg,GER,1,1680.90270996
66,Freiburg,GER,1,1654.7635498
69,Hertha,GER,1,1652.92651367
72,Augsburg,GER,1,1651.58850098
75,Mainz,GER,1,1645.55383301
80,Hamburg,GER,1,1639.05334473
84,Frankfurt,GER,1,1634.42578125
97,Stuttgart,GER,1,1614.3482666
105,Hannover,GER,1,1597.29980469
