,Rank,Club,Country,Level,Elo
3,4,Bayern,GER,1,1958.39099121
16,17,RB Leipzig,GER,1,1811.91796875
19,20,Dortmund,GER,1,1800.09008789
20,21,Leverkusen,GER,1,1795.11633301
37,38,Frankfurt,GER,1,1737.72570801
39,40,Union Berlin,GER,1,1731.28527832
46,47,Freiburg,GER,1,1719.10107422
48,49,Gladbach,GER,1,1712.01818848
57,58,Wolfsburg,GER,1,1682.16271973
58,59,Mainz,GER,1,1680.58703613
59,60,Koeln,GER,1,1679.80957031
68,69,Hoffenheim,GER,1,1664.55871582
91,92,Stuttgart,GER,1,1621.21813965
94,95,Augsburg,GER,1,1616.67419434
98,99,Bochum,GER,1,1613.71252441
103,None,Hertha,GER,1,1599.08117676
105,None,Werder,GER,1,1597.36206055
116,None,Schalke,GER,1,1579.1776123
