,Club,Elo
0,Bochum,1610.12414551
1,Hertha,1543.42028809
2,Saarbruecken,1497.22290039
3,Waldhof,1496.4230957
4,Uerdingen,1487.72558594
5,St Kickers,1471.65576172
6,Chemnitz,1468.9765625
7,Jena,1463.83081055
8,Homburg,1457.14208984
9,St Pauli,1456.4822998
10,Rostock,1455.16162109
11,Mainz,1455.05566406
12,Hannover,1453.16955566
13,Meppen,1449.42993164
14,Fortuna Koeln,1448.34619141
15,Wolfsburg,1426.92529297
16,Wuppertal,1426.18933105
17,Essen,1378.22802734
18,TeBe,1376.37524414
19,Muenchen 60,1370.46362305
