,Rank,Club,Country,Level,Elo
9,10,Inter,ITA,1,1864.37280273
13,14,Milan,ITA,1,1833.66491699
18,19,Napoli,ITA,1,1801.03137207
21,22,Juventus,ITA,1,1783.34936523
32,33,Roma,ITA,1,1755.54748535
40,41,Atalanta,ITA,1,1730.77172852
43,44,Lazio,ITA,1,1721.72131348
70,71,Sassuolo,ITA,1,1655.19445801
71,72,Fiorentina,ITA,1,1654.70166016
81,82,Verona,ITA,1,1635.58398438
82,83,Udinese,ITA,1,1632.65234375
90,91,Torino,ITA,1,1624.65136719
102,None,Bologna,ITA,1,1600.09790039
115,None,Sampdoria,ITA,1,1580.97912598
137,None,Empoli,ITA,1,1547.44885254
152,None,Lecce,ITA,1,1527.10534668
156,None,Spezia,ITA,1,1525.20690918
161,None,Monza,ITA,1,1523.15185547
205,None,Salernitana,ITA,1,1489.91760254
222,None,Cremonese,ITA,1,1478.94091797
