,Club,Country,Level,Elo
55,Cagliari,ITA,2,1688.04614258
80,Genoa,ITA,2,1636.67468262
82,Perugia,ITA,2,1635.21557617
126,Verona,ITA,2,1587.01574707
149,Chievo,ITA,2,1566.76660156
162,Foggia,ITA,2,1549.92114258
163,Torino,ITA,2,1549.79528809
164,Padova,ITA,2,1549.65942383
167,Reggina,ITA,2,1545.15087891
168,Reggiana,ITA,2,1543.47668457
169,Pescara,ITA,2,1542.33117676
174,Ravenna,ITA,2,1537.50024414
181,Venezia,ITA,2,1532.89501953
183,Salernitana,ITA,2,1529.24853516
195,Lucchese,ITA,2,1518.25793457
245,Castel di Sangro,ITA,2,1475.35961914
252,Fidelis Andria,ITA,2,1473.73608398
253,Ancona,ITA,2,1473.73608398
254,Monza,ITA,2,1473.73608398
255,Treviso,ITA,2,1473.73608398
