,Club,Elo
0,Perugia,1596.76135254
1,Empoli,1555.96472168
2,Modena,1548.44873047
3,Piacenza,1502.13635254
4,Ternana,1498.56469727
5,Triestina,1481.11584473
6,Torino,1474.35461426
7,Catania,1469.92260742
8,Vicenza,1466.65942383
9,Ascoli,1463.05554199
10,Genoa,1458.06896973
11,Verona,1454.9642334
12,Bari,1435.37451172
13,Treviso,1433.99060059
14,Albinoleffe,1430.27124023
15,Venezia,1406.63208008
16,Arezzo,1392.64160156
17,Catanzaro,1392.64160156
18,Cesena,1392.64160156
19,Crotone,1392.64160156
20,Salernitana,1391.18457031
21,Pescara,1372.60620117
