Rank,Club,Country,Level,Elo,From,To
1,Bayern,GER,1,2069.57080078,2013-05-26,2013-08-01
2,Barcelona,ESP,1,2038.83691406,2013-06-02,2013-08-01
3,Real Madrid,ESP,1,2021.36218262,2013-06-02,2013-08-01
4,Dortmund,GER,1,1948.2043457,2013-05-26,2013-08-01
5,Man United,ENG,1,1908.71166992,2013-05-20,2013-08-01
6,Porto,POR,1,1886.7611084,2013-05-20,2013-08-01
7,Chelsea,ENG,1,1884.5333252,2013-05-20,2013-08-01
8,Man City,ENG,1,1864.78564453,2013-05-20,2013-08-01
9,Benfica,POR,1,1862.56176758,2013-05-20,2013-08-01
10,Arsenal,ENG,1,1844.22961426,2013-05-20,2013-08-01
11,Paris SG,FRA,1,1841.57714844,2013-05-27,2013-07-30
12,Leverkusen,GER,1,1834.73217773,2013-05-19,2013-08-01
13,Atletico,ESP,1,1834.46044922,2013-06-02,2013-08-01
14,Juventus,ITA,1,1829.15844727,2013-06-02,2013-08-01
15,Tottenham,ENG,1,1828.79443359,2013-06-02,2013-08-01
16,Valencia,ESP,1,1820.26721191,2013-06-02,2013-07-30
17,Shakhtar,UKR,1,1817.32043457,2013-07-22,2013-07-25
18,Sociedad,ESP,1,1802.97009277,2013-06-02,2013-08-01
19,Schalke,GER,1,1788.55224609,2013-05-20,2013-08-01
20,Everton,ENG,1,1788.06201172,2013-05-20,2013-08-01
21,Liverpool,ENG,1,1782.26953125,2013-05-20,2013-08-01
22,Milan,ITA,1,1778.6619873,2013-05-20,2013-08-01
23,Malaga,ESP,1,1760.33447266,2013-07-22,2013-08-01
24,Zenit,RUS,1,1758.69689941,2013-07-22,2013-07-25
25,Freiburg,GER,1,1739.67041016,2013-05-19,2013-08-01
26,Gladbach,GER,1,1735.86376953,2013-05-19,2013-08-01
27,Ajax,NED,1,1733.51940918,2013-07-19,2013-07-25
28,Wolfsburg,GER,1,1732.64147949,2013-05-20,2013-07-25
29,Betis,ESP,1,1732.55554199,2013-06-02,2013-07-25
30,Sevilla,ESP,1,1731.11206055,2013-06-02,2013-07-25
31,Napoli,ITA,1,1726.28051758,2013-06-02,2013-07-25
32,Hannover,GER,1,1721.49194336,2013-05-27,2013-07-30
33,Galatasaray,TUR,1,1720.27929688,2013-07-19,2013-07-25
34,Lille,FRA,1,1718.33435059,2013-05-27,2013-07-30
35,Lyon,FRA,1,1716.31274414,2013-05-27,2013-07-30
36,Metalist,UKR,1,1714.11633301,2013-07-21,2013-07-25
37,Nuernberg,GER,1,1709.98242188,2013-07-21,2013-07-25
38,Olympiakos,GRE,1,1709.76379395,2013-07-21,2013-07-25
39,Rubin Kazan,RUS,1,1705.68310547,2013-07-22,2013-07-25
40,Frankfurt,GER,1,1705.3067627,2013-07-22,2013-08-01
41,Mainz,GER,1,1705.03796387,2013-07-22,2013-08-01
42,Hamburg,GER,1,1703.86340332,2013-07-22,2013-07-30
43,Udinese,ITA,1,1702.99511719,2013-07-22,2013-07-28
44,Saint-Etienne,FRA,1,1699.79199219,2013-07-22,2013-07-22
45,CSKA Moskva,RUS,1,1698.07849121,2013-07-22,2013-07-22
46,Fiorentina,ITA,1,1695.51904297,2013-06-02,2013-08-01
47,Espanyol,ESP,1,1695.39892578,2013-06-02,2013-08-01
48,Villarreal,ESP,1,1690.96447754,2013-07-02,2013-07-27
49,Stuttgart,GER,1,1690.64245605,2013-06-09,2013-07-27
50,Hertha,GER,1,1688.25170898,2013-07-02,2013-07-27
51,Fenerbahce,TUR,1,1683.63671875,2013-07-19,2013-07-25
52,Bilbao,ESP,1,1683.34228516,2013-07-19,2013-07-27
53,Osasuna,ESP,1,1681.58032227,2013-06-03,2013-07-27
54,Anderlecht,BEL,1,1679.7869873,2013-07-19,2013-07-25
55,Lazio,ITA,1,1677.81262207,2013-07-17,2013-07-27
56,Spartak Moskva,RUS,1,1677.36328125,2013-07-22,2013-07-25
57,Dynamo Kyiv,UKR,1,1676.43188477,2013-07-22,2013-07-23
58,Levante,ESP,1,1675.90966797,2013-07-22,2013-07-23
59,Marseille,FRA,1,1674.7097168,2013-07-22,2013-07-23
60,Viktoria Plzen,CZE,1,1674.01660156,2013-07-22,2013-07-23
61,Bordeaux,FRA,1,1673.99133301,2013-07-22,2013-07-25
62,Getafe,ESP,1,1673.47192383,2013-07-22,2013-07-25
63,Rayo Vallecano,ESP,1,1672.94055176,2013-07-22,2013-07-25
64,Basel,SUI,1,1670.07983398,2013-07-22,2013-07-25
65,Depor,ESP,2,1667.36096191,2013-07-17,2013-07-28
66,Roma,ITA,1,1665.46032715,2013-07-20,2013-07-30
67,West Brom,ENG,1,1664.62927246,2013-07-20,2013-07-30
68,Nice,FRA,1,1663.89685059,2013-07-20,2013-07-30
69,Augsburg,GER,1,1662.44396973,2013-07-20,2013-08-01
70,Newcastle,ENG,1,1661.50488281,2013-07-20,2013-08-01
71,Valladolid,ESP,1,1661.40319824,2013-07-20,2013-08-01
72,Hoffenheim,GER,1,1661.39318848,2013-07-20,2013-08-01
73,Dynamo Moskva,RUS,1,1661.07983398,2013-07-20,2013-07-25
74,Granada,ESP,1,1660.96435547,2013-06-02,2013-07-27
75,Almeria,ESP,1,1660.19445801,2013-07-15,2013-07-27
76,Fulham,ENG,1,1659.09155273,2013-07-15,2013-07-26
77,Anzhi,RUS,1,1659.03515625,2013-07-20,2013-07-25
78,Mallorca,ESP,2,1658.94604492,2013-07-20,2013-07-26
79,PSV,NED,1,1657.67773438,2013-07-20,2013-07-25
80,West Ham,ENG,1,1657.51696777,2013-07-20,2013-07-25
81,Kuban,RUS,1,1654.94812012,2013-07-21,2013-07-25
82,Werder,GER,1,1654.76171875,2013-07-21,2013-07-25
83,Celta,ESP,1,1654.33789062,2013-07-21,2013-07-25
84,Swansea,ENG,1,1654.31884766,2013-07-21,2013-07-25
85,Aston Villa,ENG,1,1652.21276855,2013-07-21,2013-07-25
86,Norwich,ENG,1,1646.39819336,2013-06-20,2013-07-27
87,Stoke,ENG,1,1641.90490723,2013-07-19,2013-08-01
88,Braga,POR,1,1640.76745605,2013-07-19,2013-08-01
89,Sunderland,ENG,1,1639.96472168,2013-07-19,2013-08-01
90,Montpellier,FRA,1,1638.67553711,2013-07-19,2013-07-30
91,Sparta Praha,CZE,1,1637.7565918,2013-07-22,2013-07-23
92,Dnipro,UKR,1,1634.63452148,2013-07-22,2013-07-25
93,Zaragoza,ESP,2,1632.50842285,2013-07-22,2013-07-25
94,Toulouse,FRA,1,1627.45263672,2013-07-19,2013-07-27
95,Southampton,ENG,1,1626.90161133,2013-07-19,2013-07-27
96,Catania,ITA,1,1625.56530762,2013-07-14,2013-07-27
97,Wigan,ENG,2,1624.94543457,2013-07-14,2013-07-27
98,Steaua,ROM,1,1620.46289062,2013-07-21,2013-07-23
99,Sporting,POR,1,1619.70031738,2013-07-21,2013-07-25
100,Lok Moskva,RUS,1,1618.05566406,2013-07-21,2013-07-25
None,Brugge,BEL,1,1617.15893555,2013-07-21,2013-07-25
None,Inter,ITA,1,1615.18164062,2013-05-29,2013-07-28
None,Elche,ESP,1,1614.94104004,2013-07-02,2013-08-01
None,Parma,ITA,1,1612.50952148,2013-05-20,2013-08-01
None,Feyenoord,NED,1,1609.71276855,2013-07-19,2013-07-25
None,Salzburg,AUT,1,1609.07543945,2013-07-21,2013-07-25
None,Lorient,FRA,1,1606.67456055,2013-05-27,2013-07-30
None,Duesseldorf,GER,2,1606.48718262,2013-07-02,2013-07-22
None,APOEL,CYP,0,1596.18579102,2013-07-19,2013-07-25
None,Cagliari,ITA,1,1596.0098877,2013-05-20,2013-08-01
None,Pacos Ferreira,POR,1,1596.00952148,2013-05-20,2013-08-01
None,Besiktas,TUR,1,1595.77770996,2013-07-19,2013-07-25
None,Fuerth,GER,2,1595.44946289,2013-07-22,2013-07-26
None,Lautern,GER,2,1595.02807617,2013-07-21,2013-07-26
None,Monaco,FRA,1,1594.15930176,2013-07-02,2013-07-30
None,Koeln,GER,2,1593.82617188,2013-07-21,2013-07-28
