,Rank,Club,Country,Level,Elo
1,2,Chelsea,ENG,1,1967.36755371
2,3,Man United,ENG,1,1941.93151855
7,8,Liverpool,ENG,1,1881.80004883
9,10,Arsenal,ENG,1,1866.54577637
19,20,Tottenham,ENG,1,1800.42321777
25,26,Everton,ENG,1,1773.41333008
32,33,Blackburn,ENG,1,1754.65673828
39,40,Bolton,ENG,1,1729.74890137
40,41,Aston Villa,ENG,1,1729.41918945
41,42,Reading,ENG,1,1727.05810547
49,50,Newcastle,ENG,1,1714.01574707
50,51,Portsmouth,ENG,1,1713.02429199
51,52,Middlesbrough,ENG,1,1713.00280762
67,68,Man City,ENG,1,1666.96936035
69,70,West Ham,ENG,1,1662.49267578
77,78,Fulham,ENG,1,1655.67858887
92,93,Sunderland,ENG,1,1633.64538574
96,97,Wigan,ENG,1,1628.07751465
99,100,Birmingham,ENG,1,1620.84912109
153,None,Derby,ENG,1,1574.53271484
