,Rank,Club,Country,Level,Elo
88,89,Recreativo,ESP,2,1641.28759766
92,93,Levante,ESP,2,1636.52941895
109,None,Albacete,ESP,2,1620.26013184
116,None,Numancia,ESP,2,1616.09765625
119,None,Eibar,ESP,2,1611.46533203
130,None,Valladolid,ESP,2,1598.40856934
151,None,Gijon,ESP,2,1570.1673584
155,None,Murcia,ESP,2,1565.03112793
158,None,Tenerife,ESP,2,1563.5657959
164,None,Tarragona,ESP,2,1557.26550293
171,None,Xerez,ESP,2,1547.10009766
183,None,Poli Ejido,ESP,2,1529.46325684
189,None,Ciudad de Murcia,ESP,2,1524.14074707
192,None,Almeria,ESP,2,1521.44677734
204,None,Elche,ESP,2,1511.20666504
217,None,Ferrol,ESP,2,1502.90344238
220,None,Lleida,ESP,2,1500.58764648
224,None,Castellon,ESP,2,1498.70581055
225,None,Hercules,ESP,2,1498.70581055
226,None,Lorca,ESP,2,1498.70581055
227,None,Real Madrid B,ESP,2,1498.70581055
232,None,Malaga B,ESP,2,1495.70068359
