,Rank,Club,Country,Level,Elo
103,None,Duesseldorf,GER,2,1611.99377441
107,None,Fuerth,GER,2,1604.65258789
109,None,Lautern,GER,2,1600.18896484
115,None,Koeln,GER,2,1592.65966797
157,None,Muenchen 60,GER,2,1548.86169434
166,None,St Pauli,GER,2,1544.97375488
196,None,Cottbus,GER,2,1511.99194336
197,None,FSV Frankfurt,GER,2,1510.44372559
212,None,Union Berlin,GER,2,1499.54394531
235,None,Paderborn,GER,2,1481.32336426
236,None,Bochum,GER,2,1481.18811035
237,None,Aue,GER,2,1479.64660645
260,None,Aalen,GER,2,1464.94702148
261,None,Dresden,GER,2,1464.24169922
277,None,Ingolstadt,GER,2,1450.74816895
289,None,Karlsruhe,GER,2,1442.64294434
310,None,Bielefeld,GER,2,1425.56750488
369,None,Sandhausen,GER,2,1377.79138184
