,Rank,Club,Country,Level,Elo
150,None,Crotone,ITA,2,1543.43566895
177,None,Palermo,ITA,2,1501.08728027
245,None,Cittadella,ITA,2,1459.52600098
249,None,Venezia,ITA,2,1455.91052246
251,None,Verona,ITA,2,1455.3782959
256,None,Benevento,ITA,2,1450.05334473
279,None,Perugia,ITA,2,1432.1229248
282,None,Foggia,ITA,2,1427.31103516
291,None,Spezia,ITA,2,1418.32043457
309,None,Salernitana,ITA,2,1406.35205078
312,None,Carpi,ITA,2,1404.96606445
328,None,Brescia,ITA,2,1392.10058594
331,None,Pescara,ITA,2,1387.93054199
339,None,Cremonese,ITA,2,1383.71923828
343,None,Ascoli,ITA,2,1380.9831543
365,None,Cosenza,ITA,2,1372.08508301
366,None,Lecce,ITA,2,1372.08508301
367,None,Livorno,ITA,2,1372.08508301
368,None,Padova,ITA,2,1372.08508301
