,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (58.72),Schalke 04 (59.76),Bayern Munich (58.68),Schalke 04 (62.68)
1,Dortmund (56.4),Stuttgart (57.4),Dortmund (54.99),Stuttgart (55.77)
2,Hoffenheim (52.47),Bayern Munich (55.24),Hoffenheim (54.38),Bayern Munich (55.51)
3,Werder Bremen (49.38),Hoffenheim (54.54),FC Koln (47.2),Hoffenheim (53.66)
4,RB Leipzig (48.86),Werder Bremen (47.99),Hamburg (47.17),Leverkusen (46.9)
5,FC Koln (47.53),Leverkusen (47.99),RB Leipzig (46.8),Werder Bremen (46.54)
6,Hamburg (47.3),RB Leipzig (46.55),Werder Bremen (46.65),Mainz (45.61)
7,M'gladbach (45.72),Mainz (44.25),Wolfsburg (45.54),RB Leipzig (45.16)
8,Wolfsburg (44.84),M'gladbach (44.2),Stuttgart (45.29),Hannover (44.57)
9,Freiburg (44.7),Dortmund (44.19),M'gladbach (45.08),Fortuna Dusseldorf (43.91)
10,Schalke 04 (44.0),Hannover (44.08),Freiburg (44.96),Dortmund (43.88)
11,Augsburg (43.93),Hertha (43.41),Hannover (44.8),Ein Frankfurt (43.76)
12,Mainz (43.74),Ein Frankfurt (43.09),Leverkusen (44.62),Hertha (43.55)
13,Leverkusen (43.69),Wolfsburg (43.02),Schalke 04 (43.91),M'gladbach (43.3)
14,Ein Frankfurt (43.3),Augsburg (42.4),Ein Frankfurt (43.68),Wolfsburg (43.22)
15,Stuttgart (42.82),Freiburg (42.39),Augsburg (43.32),Freiburg (43.08)
16,Hannover (42.78),Fortuna Dusseldorf (42.12),Hertha (42.36),Augsburg (42.56)
17,Hertha (42.63),Nurnberg (40.84),Mainz (41.77),Nurnberg (40.44)
