,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Tottenham (72.65),Man City (72.64),Chelsea (70.15),Man City (73.98)
1,Chelsea (72.2),Tottenham (69.56),Tottenham (70.08),Tottenham (72.49)
2,Man City (67.24),Man United (68.07),Arsenal (67.24),Man United (69.73)
3,Arsenal (66.93),Liverpool (65.02),Man City (66.67),Liverpool (66.21)
4,Liverpool (62.51),Crystal Palace (55.87),Liverpool (61.62),Crystal Palace (55.05)
5,Man United (55.93),Arsenal (55.19),Man United (55.08),Arsenal (54.61)
6,Swansea (53.93),Chelsea (54.76),Swansea (53.14),Chelsea (52.6)
7,Crystal Palace (49.79),Bournemouth (52.66),Bournemouth (50.04),Bournemouth (50.96)
8,Everton (49.58),Everton (51.07),Crystal Palace (49.89),Everton (50.66)
9,Leicester (48.57),Newcastle (49.82),Southampton (49.32),Newcastle (48.66)
10,Southampton (48.4),Burnley (48.1),Leicester (49.08),Burnley (48.15)
11,Bournemouth (48.22),West Ham (47.44),Everton (48.93),West Ham (47.68)
12,West Ham (45.95),Southampton (46.25),West Ham (48.01),Southampton (46.44)
13,Stoke (44.05),Leicester (45.12),Burnley (45.72),Leicester (45.58)
14,Watford (43.88),Huddersfield (45.12),Watford (45.09),Huddersfield (45.25)
15,Brighton (43.75),Watford (43.79),Stoke (44.51),Brighton (44.86)
16,Burnley (43.3),Brighton (43.65),West Brom (44.04),Watford (44.2)
17,West Brom (43.24),Cardiff (43.18),Brighton (42.78),Wolves (42.66)
18,Huddersfield (42.77),Wolves (43.17),Huddersfield (41.91),Cardiff (42.55)
19,Newcastle (40.8),Fulham (42.48),Newcastle (40.38),Fulham (41.21)
