,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.1906,0.5705,54%,-€161,"€1,894"
1,DIST_long,ENG1,0.1828,0.5611,56%,€219,"€2,190"
2,DIST_short,ENG1,0.183,0.5439,58%,-€82,"€2,249"
3,DIST_short,ENG1,0.1817,0.5549,54%,€142,"€2,623"
4,DIST_long,GER1,0.2046,0.5879,53%,-€157,"€1,343"
5,DIST_long,GER1,0.2002,0.5827,51%,-€283,"€1,664"
6,DIST_short,GER1,0.2027,0.5653,52%,-€118,"€1,739"
7,DIST_short,GER1,0.2001,0.5679,57%,-€246,"€2,063"
,,AVG ENG1,0.1845,0.5576,56%, € 30 ," € 2,239 "
,,AVG GER1,0.2019,0.5760,53%,-€ 201 ," € 1,702 "
,,AVG SHORT,0.1919,0.5580,55%,-€ 76 ," € 2,169 "
,,AVG LONG,0.1946,0.5756,54%,-€ 96 ," € 1,773 "
,,AVG ALL,0.1932,0.5668,54%,-€ 86 ," € 1,971 "
,,,,,,,
,,AVG 1718,0.1952,0.5669,54%,-€ 130 ," € 1,806 "
,,AVG 1819,0.1912,0.5667,55%,-€ 42 ," € 2,135 "
