,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Man City (80.0),Man City (85.2),Man City (79.78),Liverpool (81.2)
1,Chelsea (77.88),Liverpool (82.45),Chelsea (78.59),Man City (80.31)
2,Man United (73.82),Tottenham (78.96),Man United (73.34),Tottenham (78.38)
3,Tottenham (73.75),Man United (73.86),Tottenham (72.8),Man United (75.49)
4,Liverpool (70.91),Chelsea (69.86),Liverpool (72.28),Chelsea (71.32)
5,Arsenal (69.98),Arsenal (69.41),Arsenal (71.07),Arsenal (70.61)
6,Everton (57.16),Leicester (49.85),Everton (57.59),Leicester (49.58)
7,Leicester (52.15),Everton (47.07),Leicester (52.56),Everton (46.85)
8,Burnley (46.9),West Ham (46.95),Burnley (47.65),West Ham (46.31)
9,West Ham (46.47),Crystal Palace (45.99),West Ham (46.29),Crystal Palace (45.44)
10,Southampton (44.82),Bournemouth (44.69),Southampton (45.14),Bournemouth (44.45)
11,Stoke (43.18),Burnley (44.34),Bournemouth (42.65),Burnley (43.74)
12,Bournemouth (42.98),Watford (43.53),Stoke (42.06),Watford (43.19)
13,Newcastle (42.1),Newcastle (43.06),Newcastle (41.51),Newcastle (42.63)
14,Swansea (41.99),Southampton (42.87),Swansea (40.9),Southampton (42.56)
15,Crystal Palace (40.99),Wolves (40.97),Crystal Palace (40.48),Wolves (42.33)
16,West Brom (40.61),Brighton (39.62),West Brom (39.8),Brighton (39.48)
17,Watford (38.64),Fulham (36.59),Watford (38.33),Fulham (36.62)
18,Brighton (36.26),Cardiff (32.9),Brighton (35.26),Cardiff (35.28)
19,Huddersfield (23.38),Huddersfield (30.52),Huddersfield (29.21),Huddersfield (32.07)
