,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (81.08),Bayern Munich (78.97),Bayern Munich (75.62),Bayern Munich (78.29)
1,Dortmund (63.44),Dortmund (62.63),Dortmund (61.3),Dortmund (59.91)
2,Hoffenheim (54.5),Hoffenheim (55.67),Hoffenheim (52.87),Hoffenheim (54.7)
3,Schalke 04 (51.75),Schalke 04 (53.7),M'gladbach (50.6),Leverkusen (52.22)
4,RB Leipzig (51.02),RB Leipzig (53.33),Schalke 04 (50.58),RB Leipzig (52.01)
5,Leverkusen (50.42),Leverkusen (52.82),RB Leipzig (49.59),Schalke 04 (51.9)
6,M'gladbach (50.22),M'gladbach (52.54),Leverkusen (49.21),M'gladbach (51.22)
7,Hertha (44.39),Ein Frankfurt (47.1),Werder Bremen (45.72),Werder Bremen (47.0)
8,Werder Bremen (44.15),Werder Bremen (47.09),Hertha (44.28),Ein Frankfurt (46.44)
9,Wolfsburg (42.46),Stuttgart (44.33),Wolfsburg (43.41),Stuttgart (44.71)
10,Ein Frankfurt (41.36),Hertha (43.68),Ein Frankfurt (42.75),Hertha (43.77)
11,Freiburg (41.2),Wolfsburg (43.13),Freiburg (42.71),Wolfsburg (43.44)
12,Augsburg (41.11),Augsburg (41.41),FC Koln (42.02),Augsburg (41.53)
13,FC Koln (40.99),Mainz (39.27),Augsburg (41.62),Freiburg (40.18)
14,Mainz (38.3),Freiburg (38.08),Mainz (39.11),Mainz (39.62)
15,Hannover (35.7),Hannover (34.9),Hannover (37.31),Hannover (36.63)
16,Hamburg (35.33),Fortuna Dusseldorf (28.68),Hamburg (36.4),Fortuna Dusseldorf (30.17)
17,Stuttgart (34.98),Nurnberg (27.11),Stuttgart (36.07),Nurnberg (29.07)
