,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Man City (60.22),Man City (61.89),Chelsea (59.06),Man City (61.49)
1,Arsenal (59.89),Crystal Palace (59.74),Tottenham (59.05),Crystal Palace (59.16)
2,Chelsea (59.79),Man United (58.36),Arsenal (58.22),Man United (57.99)
3,Tottenham (58.63),Tottenham (57.09),Man City (57.89),Tottenham (56.92)
4,Liverpool (56.27),Arsenal (54.79),Liverpool (56.12),Everton (55.06)
5,Swansea (56.04),Chelsea (54.78),Swansea (54.11),Arsenal (54.34)
6,Southampton (53.19),Everton (53.55),Man United (53.66),Chelsea (53.86)
7,Man United (53.02),Liverpool (53.44),Southampton (53.59),Liverpool (53.72)
8,West Ham (51.98),Bournemouth (51.59),West Ham (52.84),Bournemouth (51.96)
9,Bournemouth (50.94),Burnley (50.76),Bournemouth (51.89),Burnley (51.43)
10,Crystal Palace (49.31),West Ham (50.72),Everton (49.81),Leicester (51.11)
11,Stoke (48.98),Leicester (50.44),Brighton (49.6),West Ham (50.76)
12,Leicester (48.73),Newcastle (50.3),Leicester (49.53),Newcastle (50.67)
13,West Brom (48.63),Southampton (50.08),Crystal Palace (49.41),Southampton (49.81)
14,Burnley (48.55),Huddersfield (48.81),Burnley (49.34),Huddersfield (49.1)
15,Everton (48.26),Cardiff (48.34),Stoke (48.85),Cardiff (48.02)
16,Brighton (48.25),Wolves (47.58),Huddersfield (48.78),Brighton (47.83)
17,Newcastle (47.9),Watford (47.4),West Brom (48.48),Wolves (47.33)
18,Huddersfield (47.84),Fulham (47.11),Newcastle (47.44),Watford (47.3)
19,Watford (47.15),Brighton (47.06),Watford (47.26),Fulham (46.65)
