,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (54.08),Schalke 04 (52.67),Bayern Munich (54.66),Schalke 04 (55.1)
1,Dortmund (51.48),Bayern Munich (51.73),Dortmund (51.7),Stuttgart (52.48)
2,Hoffenheim (48.61),Stuttgart (51.68),Hoffenheim (49.41),Bayern Munich (51.82)
3,FC Koln (48.16),Hoffenheim (51.32),FC Koln (47.62),Hoffenheim (49.43)
4,Augsburg (47.39),RB Leipzig (47.54),Augsburg (46.99),RB Leipzig (47.37)
5,RB Leipzig (47.12),Werder Bremen (47.28),RB Leipzig (46.86),Werder Bremen (47.01)
6,M'gladbach (46.66),Leverkusen (46.85),Hamburg (46.76),Leverkusen (46.06)
7,Hamburg (46.45),Mainz (45.92),Stuttgart (46.44),Freiburg (45.66)
8,Schalke 04 (46.27),M'gladbach (45.91),M'gladbach (46.12),M'gladbach (45.58)
9,Mainz (46.13),Freiburg (45.58),Ein Frankfurt (45.91),Mainz (45.38)
10,Freiburg (45.68),Dortmund (45.06),Leverkusen (45.75),Hannover (45.11)
11,Wolfsburg (45.66),Hannover (44.99),Mainz (45.4),Fortuna Dusseldorf (45.05)
12,Werder Bremen (45.62),Fortuna Dusseldorf (44.69),Hannover (45.38),Ein Frankfurt (44.81)
13,Ein Frankfurt (45.07),Hertha (44.65),Wolfsburg (45.04),Augsburg (44.48)
14,Stuttgart (44.8),Augsburg (44.65),Schalke 04 (44.87),Dortmund (44.36)
15,Leverkusen (44.73),Ein Frankfurt (44.53),Freiburg (44.61),Hertha (44.34)
16,Hertha (44.53),Wolfsburg (44.46),Werder Bremen (44.38),Wolfsburg (43.91)
17,Hannover (43.77),Nurnberg (43.2),Hertha (44.2),Nurnberg (43.91)
