,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.1897,0.5752,53%,-€96,"€2,389"
1,DIST_long,ENG1,0.1903,0.5811,49%,€142,"€2,731"
2,DIST_short,ENG1,0.1949,0.586,53%,-€23,"€2,399"
3,DIST_short,ENG1,0.1929,0.5867,52%,€133,"€2,943"
4,DIST_long,GER1,0.2141,0.6098,48%,-€177,"€1,594"
5,DIST_long,GER1,0.2064,0.5949,49%,-€425,"€2,086"
6,DIST_short,GER1,0.196,0.5687,54%,-€104,"€1,924"
7,DIST_short,GER1,0.1983,0.5597,56%,-€415,"€2,343"
,,AVG ENG1,0.192,0.5823,52%,€39,"€2,616"
,,AVG GER1,0.2037,0.5833,52%,-€280,"€1,987"
,,AVG SHORT,0.1955,0.5753,54%,-€102,"€2,402"
,,AVG LONG,0.2001,0.5903,50%,-€139,"€2,200"
,,AVG ALL,0.1978,0.5828,52%,-€121,"€2,301"
,,,,,,,
,,AVG 1718,0.1987,0.5849,52%,-€ 100 ," € 2,077 "
,,AVG 1819,0.1970,0.5806,52%,-€ 141 ," € 2,526 "
