,Distribution,Predicted League,RPS_avg,Brier,Acc,Profit_simple,Profit_kelly
0,DIST_long,ENG1,0.1732,0.5295,57%,-€206,€944
1,DIST_long,ENG1,0.1744,0.5176,61%,€211,"€1,150"
2,DIST_short,ENG1,0.1703,0.5121,60%,-€213,"€1,269"
3,DIST_short,ENG1,0.1788,0.5253,61%,€70,"€1,440"
4,DIST_long,GER1,0.1991,0.5782,54%,-€357,€754
5,DIST_long,GER1,0.1911,0.5461,57%,-€247,€671
6,DIST_short,GER1,0.1988,0.5731,54%,-€272,€834
7,DIST_short,GER1,0.1867,0.5478,53%,-€216.00,€809
,,AVG ENG1,0.1742,0.5211,60%,-€35,"€1,201"
,,AVG GER1,0.1939,0.5613,55%,-€273,€767
,,AVG SHORT,0.1837,0.5396,57%,-€158,"€1,088"
,,AVG LONG,0.1845,0.5429,57%,-€150,€880
,,AVG ALL,0.1841,0.5412,57%,-€154,€984
,,,,,,,
,,AVG 1718,0.1854,0.5482,56%,-€ 262 , € 950 
,,AVG 1819,0.1828,0.5342,58%,-€ 46 ," € 1,018 "
