,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (53.74),Schalke 04 (52.79),Bayern Munich (54.24),Schalke 04 (54.83)
1,Dortmund (51.34),Bayern Munich (52.01),Dortmund (51.84),Stuttgart (52.35)
2,FC Koln (48.7),Stuttgart (51.28),Hoffenheim (49.67),Bayern Munich (51.86)
3,Hoffenheim (48.55),Hoffenheim (50.64),FC Koln (47.54),Hoffenheim (49.42)
4,Augsburg (47.08),RB Leipzig (47.62),RB Leipzig (47.34),RB Leipzig (47.56)
5,M'gladbach (47.06),Werder Bremen (47.51),Augsburg (47.16),Werder Bremen (47.33)
6,RB Leipzig (46.96),Leverkusen (46.96),M'gladbach (46.42),Leverkusen (46.28)
7,Freiburg (46.38),Mainz (46.5),Hamburg (46.15),Mainz (45.68)
8,Hamburg (46.26),Dortmund (45.64),Leverkusen (45.94),M'gladbach (45.38)
9,Schalke 04 (45.97),M'gladbach (45.61),Ein Frankfurt (45.79),Freiburg (44.93)
10,Mainz (45.93),Hannover (44.98),Stuttgart (45.74),Fortuna Dusseldorf (44.89)
11,Werder Bremen (45.8),Freiburg (44.88),Schalke 04 (45.54),Dortmund (44.86)
12,Wolfsburg (45.48),Hertha (44.84),Mainz (45.28),Ein Frankfurt (44.78)
13,Ein Frankfurt (44.87),Ein Frankfurt (44.42),Hannover (45.05),Augsburg (44.62)
14,Leverkusen (44.79),Fortuna Dusseldorf (44.38),Wolfsburg (44.89),Hannover (44.51)
15,Stuttgart (44.67),Augsburg (44.34),Werder Bremen (44.73),Hertha (44.45)
16,Hertha (44.53),Wolfsburg (44.25),Freiburg (44.55),Nurnberg (44.33)
17,Hannover (43.96),Nurnberg (43.83),Hertha (44.21),Wolfsburg (43.58)
