,DIST_long GER1 2017_2018,DIST_long GER1 2018_2019,DIST_short GER1 2017_2018,DIST_short GER1 2018_2019
0,Bayern Munich (81.46),Bayern Munich (79.05),Bayern Munich (76.0),Bayern Munich (78.49)
1,Dortmund (63.42),Dortmund (62.67),Dortmund (61.09),Dortmund (59.74)
2,Hoffenheim (54.27),Hoffenheim (55.35),Hoffenheim (52.79),Hoffenheim (54.2)
3,Schalke 04 (51.82),Schalke 04 (53.74),Schalke 04 (50.79),RB Leipzig (52.41)
4,Leverkusen (50.69),RB Leipzig (53.45),M'gladbach (50.17),Leverkusen (52.11)
5,RB Leipzig (50.56),Leverkusen (53.01),RB Leipzig (49.14),Schalke 04 (51.65)
6,M'gladbach (49.94),M'gladbach (52.33),Leverkusen (49.07),M'gladbach (51.42)
7,Hertha (44.38),Ein Frankfurt (47.19),Werder Bremen (45.72),Ein Frankfurt (46.89)
8,Werder Bremen (44.32),Werder Bremen (46.88),Hertha (44.32),Werder Bremen (46.64)
9,Wolfsburg (42.27),Stuttgart (44.55),Wolfsburg (43.5),Stuttgart (44.61)
10,Ein Frankfurt (41.57),Hertha (43.56),Ein Frankfurt (43.15),Hertha (43.83)
11,Freiburg (41.3),Wolfsburg (43.34),Freiburg (42.86),Wolfsburg (43.12)
12,FC Koln (41.23),Augsburg (41.31),FC Koln (42.25),Augsburg (41.57)
13,Augsburg (40.94),Mainz (39.55),Augsburg (41.56),Freiburg (40.14)
14,Mainz (38.64),Freiburg (37.98),Mainz (39.37),Mainz (40.06)
15,Hannover (35.5),Hannover (35.11),Hannover (37.24),Hannover (36.88)
16,Hamburg (35.21),Fortuna Dusseldorf (28.51),Hamburg (36.25),Fortuna Dusseldorf (30.0)
17,Stuttgart (34.85),Nurnberg (26.67),Stuttgart (36.12),Nurnberg (28.95)
