,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Man City (79.72),Man City (85.23),Man City (79.64),Liverpool (81.23)
1,Chelsea (77.8),Liverpool (82.08),Chelsea (78.59),Man City (80.19)
2,Tottenham (73.57),Tottenham (78.79),Man United (72.92),Tottenham (78.35)
3,Man United (73.55),Man United (73.79),Tottenham (72.52),Man United (75.49)
4,Liverpool (70.8),Chelsea (69.97),Liverpool (72.45),Chelsea (71.53)
5,Arsenal (69.99),Arsenal (69.78),Arsenal (71.26),Arsenal (70.79)
6,Everton (57.4),Leicester (49.84),Everton (57.77),Leicester (49.58)
7,Leicester (52.02),Everton (47.42),Leicester (52.38),Everton (47.13)
8,Burnley (46.85),West Ham (47.13),Burnley (47.58),West Ham (46.15)
9,West Ham (46.45),Crystal Palace (45.63),West Ham (46.08),Crystal Palace (44.81)
10,Southampton (45.02),Bournemouth (44.6),Southampton (45.56),Bournemouth (44.59)
11,Stoke (43.28),Burnley (44.18),Bournemouth (42.35),Burnley (43.59)
12,Bournemouth (42.79),Watford (43.61),Stoke (42.3),Watford (42.92)
13,Swansea (42.03),Southampton (43.11),Newcastle (41.25),Newcastle (42.71)
14,Newcastle (41.97),Newcastle (43.03),Swansea (40.93),Southampton (42.64)
15,Crystal Palace (41.02),Wolves (40.76),Crystal Palace (40.88),Wolves (42.47)
16,West Brom (40.86),Brighton (39.79),West Brom (39.99),Brighton (39.44)
17,Watford (38.93),Fulham (36.28),Watford (38.35),Fulham (36.49)
18,Brighton (36.54),Cardiff (33.23),Brighton (35.19),Cardiff (35.31)
19,Huddersfield (23.55),Huddersfield (30.42),Huddersfield (29.35),Huddersfield (32.0)
