Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E1,11/09/2020,19:45,Watford,Middlesbrough,1,0,H
E1,12/09/2020,12:30,Birmingham,Brentford,1,0,H
E1,12/09/2020,12:30,Wycombe,Rotherham,0,1,A
E1,12/09/2020,15:00,Barnsley,Luton,0,1,A
E1,12/09/2020,15:00,Bournemouth,Blackburn,3,2,H
E1,12/09/2020,15:00,Bristol City,Coventry,2,1,H
E1,12/09/2020,15:00,Cardiff,Sheffield Weds,0,2,A
E1,12/09/2020,15:00,Derby,Reading,0,2,A
E1,12/09/2020,15:00,Huddersfield,Norwich,0,1,A
E1,12/09/2020,15:00,Millwall,Stoke,0,0,D
E1,12/09/2020,15:00,Preston,Swansea,0,1,A
E1,12/09/2020,15:00,QPR,Nott'm Forest,2,0,H
E1,18/09/2020,19:45,Coventry,QPR,3,2,H
E1,19/09/2020,12:30,Nott'm Forest,Cardiff,0,2,A
E1,19/09/2020,15:00,Blackburn,Wycombe,5,0,H
E1,19/09/2020,15:00,Brentford,Huddersfield,3,0,H
E1,19/09/2020,15:00,Luton,Derby,2,1,H
E1,19/09/2020,15:00,Middlesbrough,Bournemouth,1,1,D
E1,19/09/2020,15:00,Norwich,Preston,2,2,D
E1,19/09/2020,15:00,Reading,Barnsley,2,0,H
E1,19/09/2020,15:00,Rotherham,Millwall,0,1,A
E1,19/09/2020,15:00,Sheffield Weds,Watford,0,0,D
E1,19/09/2020,15:00,Swansea,Birmingham,0,0,D
E1,20/09/2020,14:00,Stoke,Bristol City,0,2,A
E1,25/09/2020,19:45,Huddersfield,Nott'm Forest,1,0,H
E1,26/09/2020,12:30,Watford,Luton,1,0,H
E1,26/09/2020,12:30,Wycombe,Swansea,0,2,A
E1,26/09/2020,15:00,Barnsley,Coventry,0,0,D
E1,26/09/2020,15:00,Birmingham,Rotherham,1,1,D
E1,26/09/2020,15:00,Cardiff,Reading,1,2,A
E1,26/09/2020,15:00,Derby,Blackburn,0,4,A
E1,26/09/2020,15:00,Millwall,Brentford,1,1,D
E1,26/09/2020,15:00,Preston,Stoke,0,1,A
E1,26/09/2020,15:00,QPR,Middlesbrough,1,1,D
E1,27/09/2020,13:00,Bristol City,Sheffield Weds,2,0,H
E1,27/09/2020,16:00,Bournemouth,Norwich,1,0,H
E1,02/10/2020,19:45,Coventry,Bournemouth,1,3,A
E1,03/10/2020,12:30,Norwich,Derby,0,1,A
E1,03/10/2020,15:00,Blackburn,Cardiff,0,0,D
E1,03/10/2020,15:00,Luton,Wycombe,2,0,H
E1,03/10/2020,15:00,Middlesbrough,Barnsley,2,1,H
E1,03/10/2020,15:00,Nott'm Forest,Bristol City,1,2,A
E1,03/10/2020,15:00,Reading,Watford,1,0,H
E1,03/10/2020,15:00,Rotherham,Huddersfield,1,1,D
E1,03/10/2020,15:00,Sheffield Weds,QPR,1,1,D
E1,03/10/2020,15:00,Swansea,Millwall,2,1,H
E1,04/10/2020,14:00,Brentford,Preston,2,4,A
E1,04/10/2020,15:00,Stoke,Birmingham,1,1,D
E1,16/10/2020,19:45,Derby,Watford,0,1,A
E1,17/10/2020,15:00,Barnsley,Bristol City,2,2,D
E1,17/10/2020,15:00,Birmingham,Sheffield Weds,0,1,A
E1,17/10/2020,15:00,Blackburn,Nott'm Forest,0,1,A
E1,17/10/2020,15:00,Bournemouth,QPR,0,0,D
E1,17/10/2020,15:00,Brentford,Coventry,2,0,H
E1,17/10/2020,15:00,Luton,Stoke,0,2,A
E1,17/10/2020,15:00,Middlesbrough,Reading,0,0,D
E1,17/10/2020,15:00,Rotherham,Norwich,1,2,A
E1,17/10/2020,15:00,Swansea,Huddersfield,1,2,A
E1,17/10/2020,15:00,Wycombe,Millwall,1,2,A
E1,18/10/2020,12:00,Preston,Cardiff,0,1,A
E1,20/10/2020,19:45,Bristol City,Middlesbrough,0,1,A
E1,20/10/2020,19:45,Coventry,Swansea,1,1,D
E1,20/10/2020,19:45,Huddersfield,Derby,1,0,H
E1,20/10/2020,19:45,Millwall,Luton,2,0,H
E1,20/10/2020,19:45,Norwich,Birmingham,1,0,H
E1,20/10/2020,19:45,Nott'm Forest,Rotherham,1,1,D
E1,20/10/2020,20:00,Reading,Wycombe,1,0,H
E1,21/10/2020,19:45,Cardiff,Bournemouth,1,1,D
E1,21/10/2020,19:45,QPR,Preston,0,2,A
E1,21/10/2020,19:45,Sheffield Weds,Brentford,1,2,A
E1,21/10/2020,19:45,Stoke,Barnsley,2,2,D
E1,21/10/2020,19:45,Watford,Blackburn,3,1,H
E1,23/10/2020,19:45,Nott'm Forest,Derby,1,1,D
E1,24/10/2020,12:30,Watford,Bournemouth,1,1,D
E1,24/10/2020,15:00,Bristol City,Swansea,1,1,D
E1,24/10/2020,15:00,Cardiff,Middlesbrough,1,1,D
E1,24/10/2020,15:00,Coventry,Blackburn,0,4,A
E1,24/10/2020,15:00,Huddersfield,Preston,1,2,A
E1,24/10/2020,15:00,Millwall,Barnsley,1,1,D
E1,24/10/2020,15:00,Norwich,Wycombe,2,1,H
E1,24/10/2020,15:00,QPR,Birmingham,0,0,D
E1,24/10/2020,15:00,Reading,Rotherham,3,0,H
E1,24/10/2020,15:00,Sheffield Weds,Luton,0,1,A
E1,24/10/2020,15:00,Stoke,Brentford,3,2,H
E1,27/10/2020,19:00,Barnsley,QPR,3,0,H
E1,27/10/2020,19:45,Blackburn,Reading,2,4,A
E1,27/10/2020,19:45,Brentford,Norwich,1,1,D
E1,27/10/2020,19:45,Middlesbrough,Coventry,2,0,H
E1,27/10/2020,19:45,Swansea,Stoke,2,0,H
E1,27/10/2020,19:45,Wycombe,Watford,1,1,D
E1,28/10/2020,19:00,Preston,Millwall,0,2,A
E1,28/10/2020,19:45,Birmingham,Huddersfield,2,1,H
E1,28/10/2020,19:45,Bournemouth,Bristol City,1,0,H
E1,28/10/2020,19:45,Derby,Cardiff,1,1,D
E1,28/10/2020,19:45,Luton,Nott'm Forest,1,1,D
E1,28/10/2020,19:45,Rotherham,Sheffield Weds,3,0,H
E1,30/10/2020,19:45,Coventry,Reading,3,2,H
E1,31/10/2020,12:30,Bristol City,Norwich,1,3,A
E1,31/10/2020,15:00,Barnsley,Watford,1,0,H
E1,31/10/2020,15:00,Bournemouth,Derby,1,1,D
E1,31/10/2020,15:00,Luton,Brentford,0,3,A
E1,31/10/2020,15:00,Middlesbrough,Nott'm Forest,1,0,H
E1,31/10/2020,15:00,Millwall,Huddersfield,0,3,A
E1,31/10/2020,15:00,Preston,Birmingham,1,2,A
E1,31/10/2020,15:00,QPR,Cardiff,3,2,H
E1,31/10/2020,15:00,Stoke,Rotherham,1,0,H
E1,31/10/2020,15:00,Swansea,Blackburn,2,0,H
E1,31/10/2020,15:00,Wycombe,Sheffield Weds,1,0,H
E1,03/11/2020,19:00,Brentford,Swansea,1,1,D
E1,03/11/2020,19:00,Huddersfield,Bristol City,1,2,A
E1,03/11/2020,19:00,Norwich,Millwall,0,0,D
E1,03/11/2020,19:00,Sheffield Weds,Bournemouth,1,0,H
E1,03/11/2020,19:45,Blackburn,Middlesbrough,0,0,D
E1,03/11/2020,19:45,Cardiff,Barnsley,3,0,H
E1,04/11/2020,19:00,Reading,Preston,0,3,A
E1,04/11/2020,19:00,Watford,Stoke,3,2,H
E1,04/11/2020,19:45,Birmingham,Wycombe,1,2,A
E1,04/11/2020,19:45,Derby,QPR,0,1,A
E1,04/11/2020,19:45,Nott'm Forest,Coventry,2,1,H
E1,04/11/2020,19:45,Rotherham,Luton,0,1,A
E1,06/11/2020,18:00,Cardiff,Bristol City,0,1,A
E1,07/11/2020,12:30,Reading,Stoke,0,3,A
E1,07/11/2020,15:00,Birmingham,Bournemouth,1,3,A
E1,07/11/2020,15:00,Blackburn,QPR,3,1,H
E1,07/11/2020,15:00,Brentford,Middlesbrough,0,0,D
E1,07/11/2020,15:00,Derby,Barnsley,0,2,A
E1,07/11/2020,15:00,Huddersfield,Luton,1,1,D
E1,07/11/2020,15:00,Norwich,Swansea,1,0,H
E1,07/11/2020,15:00,Nott'm Forest,Wycombe,2,0,H
E1,07/11/2020,15:00,Rotherham,Preston,2,1,H
E1,07/11/2020,15:00,Sheffield Weds,Millwall,0,0,D
E1,07/11/2020,15:00,Watford,Coventry,3,2,H
E1,20/11/2020,19:45,Coventry,Birmingham,0,0,D
E1,21/11/2020,12:30,Bournemouth,Reading,4,2,H
E1,21/11/2020,15:00,Barnsley,Nott'm Forest,2,0,H
E1,21/11/2020,15:00,Bristol City,Derby,1,0,H
E1,21/11/2020,15:00,Luton,Blackburn,1,1,D
E1,21/11/2020,15:00,Middlesbrough,Norwich,0,1,A
E1,21/11/2020,15:00,Millwall,Cardiff,1,1,D
E1,21/11/2020,15:00,Preston,Sheffield Weds,1,0,H
E1,21/11/2020,15:00,QPR,Watford,1,1,D
E1,21/11/2020,15:00,Stoke,Huddersfield,4,3,H
E1,21/11/2020,15:00,Swansea,Rotherham,1,0,H
E1,21/11/2020,15:00,Wycombe,Brentford,0,0,D
