Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
SP1,18/08/17,Leganes,Alaves,1,0,H,1
SP1,18/08/17,Valencia,Las Palmas,1,0,H,1
SP1,19/08/17,Celta,Sociedad,2,3,A,1
SP1,19/08/17,Girona,Ath Madrid,2,2,D,2
SP1,19/08/17,Sevilla,Espanol,1,1,D,1
SP1,20/08/17,Ath Bilbao,Getafe,0,0,D,0
SP1,20/08/17,Barcelona,Betis,2,0,H,2
SP1,20/08/17,La Coruna,Real Madrid,0,3,A,0
SP1,21/08/17,Levante,Villarreal,1,0,H,0
SP1,21/08/17,Malaga,Eibar,0,1,A,0
SP1,25/08/17,Betis,Celta,2,1,H,1
SP1,25/08/17,Sociedad,Villarreal,3,0,H,3
SP1,26/08/17,Alaves,Barcelona,0,2,A,0
SP1,26/08/17,Girona,Malaga,1,0,H,1
SP1,26/08/17,Las Palmas,Ath Madrid,1,5,A,0
SP1,26/08/17,Levante,La Coruna,2,2,D,1
SP1,27/08/17,Eibar,Ath Bilbao,0,1,A,0
SP1,27/08/17,Espanol,Leganes,0,1,A,0
SP1,27/08/17,Getafe,Sevilla,0,1,A,0
SP1,27/08/17,Real Madrid,Valencia,2,2,D,1
SP1,08/09/17,Leganes,Getafe,1,2,A,0
SP1,09/09/17,Barcelona,Espanol,5,0,H,2
SP1,09/09/17,Real Madrid,Levante,1,1,D,1
SP1,09/09/17,Sevilla,Eibar,3,0,H,0
SP1,09/09/17,Valencia,Ath Madrid,0,0,D,0
SP1,10/09/17,Ath Bilbao,Girona,2,0,H,1
SP1,10/09/17,Celta,Alaves,1,0,H,1
SP1,10/09/17,La Coruna,Sociedad,2,4,A,1
SP1,10/09/17,Villarreal,Betis,3,1,H,1
SP1,11/09/17,Malaga,Las Palmas,1,3,A,0
SP1,15/09/17,Eibar,Leganes,1,0,H,0
SP1,16/09/17,Ath Madrid,Malaga,1,0,H,0
SP1,16/09/17,Betis,La Coruna,2,1,H,1
SP1,16/09/17,Getafe,Barcelona,1,2,A,1
SP1,16/09/17,Levante,Valencia,1,1,D,1
SP1,17/09/17,Alaves,Villarreal,0,3,A,0
SP1,17/09/17,Girona,Sevilla,0,1,A,0
SP1,17/09/17,Las Palmas,Ath Bilbao,1,0,H,0
SP1,17/09/17,Sociedad,Real Madrid,1,3,A,1
SP1,18/09/17,Espanol,Celta,2,1,H,2
SP1,19/09/17,Barcelona,Eibar,6,1,H,2
SP1,19/09/17,Valencia,Malaga,5,0,H,1
SP1,20/09/17,Ath Bilbao,Ath Madrid,1,2,A,0
SP1,20/09/17,La Coruna,Alaves,1,0,H,1
SP1,20/09/17,Leganes,Girona,0,0,D,0
SP1,20/09/17,Real Madrid,Betis,0,1,A,0
SP1,20/09/17,Sevilla,Las Palmas,1,0,H,0
SP1,21/09/17,Celta,Getafe,1,1,D,1
SP1,21/09/17,Levante,Sociedad,3,0,H,1
SP1,21/09/17,Villarreal,Espanol,0,0,D,0
