Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SP1,12/08/2022,20:00,Osasuna,Sevilla,2,1,H
SP1,13/08/2022,16:00,Celta,Espanol,2,2,D
SP1,13/08/2022,18:00,Valladolid,Villarreal,0,3,A
SP1,13/08/2022,20:00,Barcelona,Vallecano,0,0,D
SP1,14/08/2022,16:30,Cadiz,Sociedad,0,1,A
SP1,14/08/2022,18:30,Valencia,Girona,1,0,H
SP1,14/08/2022,21:00,Almeria,Real Madrid,1,2,A
SP1,15/08/2022,16:30,Ath Bilbao,Mallorca,0,0,D
SP1,15/08/2022,18:30,Getafe,Ath Madrid,0,3,A
SP1,15/08/2022,20:30,Betis,Elche,3,0,H
SP1,19/08/2022,19:00,Espanol,Vallecano,0,2,A
SP1,19/08/2022,21:00,Sevilla,Valladolid,1,1,D
SP1,20/08/2022,16:30,Osasuna,Cadiz,2,0,H
SP1,20/08/2022,18:30,Mallorca,Betis,1,2,A
SP1,20/08/2022,21:00,Celta,Real Madrid,1,4,A
SP1,21/08/2022,16:30,Ath Bilbao,Valencia,1,0,H
SP1,21/08/2022,18:30,Ath Madrid,Villarreal,0,2,A
SP1,21/08/2022,21:00,Sociedad,Barcelona,1,4,A
SP1,22/08/2022,19:00,Elche,Almeria,1,1,D
SP1,22/08/2022,21:00,Girona,Getafe,3,1,H
SP1,26/08/2022,19:00,Girona,Celta,0,1,A
SP1,26/08/2022,21:00,Betis,Osasuna,1,0,H
SP1,27/08/2022,16:30,Elche,Sociedad,0,1,A
SP1,27/08/2022,18:30,Vallecano,Mallorca,0,2,A
SP1,27/08/2022,21:00,Almeria,Sevilla,2,1,H
SP1,28/08/2022,16:30,Getafe,Villarreal,0,0,D
SP1,28/08/2022,18:30,Barcelona,Valladolid,4,0,H
SP1,28/08/2022,21:00,Espanol,Real Madrid,1,3,A
SP1,29/08/2022,19:00,Cadiz,Ath Bilbao,0,4,A
SP1,29/08/2022,21:00,Valencia,Ath Madrid,0,1,A
SP1,02/09/2022,20:00,Celta,Cadiz,3,0,H
SP1,03/09/2022,13:00,Mallorca,Girona,1,1,D
SP1,03/09/2022,15:15,Real Madrid,Betis,2,1,H
SP1,03/09/2022,17:30,Sociedad,Ath Madrid,1,1,D
SP1,03/09/2022,20:00,Sevilla,Barcelona,0,3,A
SP1,04/09/2022,13:00,Osasuna,Vallecano,2,1,H
SP1,04/09/2022,15:15,Ath Bilbao,Espanol,0,1,A
SP1,04/09/2022,17:30,Villarreal,Elche,4,0,H
SP1,04/09/2022,20:00,Valencia,Getafe,5,1,H
SP1,05/09/2022,20:00,Valladolid,Almeria,1,0,H
SP1,09/09/2022,20:00,Girona,Valladolid,2,1,H
SP1,10/09/2022,13:00,Vallecano,Valencia,2,1,H
SP1,10/09/2022,15:15,Espanol,Sevilla,2,3,A
