Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
D1,18/08/17,Bayern Munich,Leverkusen,3,1,H,2
D1,19/08/17,Hamburg,Augsburg,1,0,H,1
D1,19/08/17,Hertha,Stuttgart,2,0,H,0
D1,19/08/17,Hoffenheim,Werder Bremen,1,0,H,0
D1,19/08/17,Mainz,Hannover,0,1,A,0
D1,19/08/17,Schalke 04,RB Leipzig,2,0,H,1
D1,19/08/17,Wolfsburg,Dortmund,0,3,A,0
D1,20/08/17,Freiburg,Ein Frankfurt,0,0,D,0
D1,20/08/17,M'gladbach,FC Koln,1,0,H,0
D1,25/08/17,FC Koln,Hamburg,1,3,A,0
D1,26/08/17,Augsburg,M'gladbach,2,2,D,1
D1,26/08/17,Dortmund,Hertha,2,0,H,1
D1,26/08/17,Ein Frankfurt,Wolfsburg,0,1,A,0
D1,26/08/17,Leverkusen,Hoffenheim,2,2,D,1
D1,26/08/17,Stuttgart,Mainz,1,0,H,0
D1,26/08/17,Werder Bremen,Bayern Munich,0,2,A,0
D1,27/08/17,Hannover,Schalke 04,1,0,H,0
D1,27/08/17,RB Leipzig,Freiburg,4,1,H,0
D1,08/09/17,Hamburg,RB Leipzig,0,2,A,0
D1,09/09/17,Augsburg,FC Koln,3,0,H,2
D1,09/09/17,Freiburg,Dortmund,0,0,D,0
D1,09/09/17,Hoffenheim,Bayern Munich,2,0,H,1
D1,09/09/17,Mainz,Leverkusen,3,1,H,1
D1,09/09/17,M'gladbach,Ein Frankfurt,0,1,A,0
D1,09/09/17,Wolfsburg,Hannover,1,1,D,0
D1,10/09/17,Hertha,Werder Bremen,1,1,D,1
D1,10/09/17,Schalke 04,Stuttgart,3,1,H,1
D1,15/09/17,Hannover,Hamburg,2,0,H,0
D1,16/09/17,Bayern Munich,Mainz,4,0,H,2
D1,16/09/17,Ein Frankfurt,Augsburg,1,2,A,0
D1,16/09/17,RB Leipzig,M'gladbach,2,2,D,2
D1,16/09/17,Stuttgart,Wolfsburg,1,0,H,1
D1,16/09/17,Werder Bremen,Schalke 04,1,2,A,1
D1,17/09/17,Dortmund,FC Koln,5,0,H,2
D1,17/09/17,Hoffenheim,Hertha,1,1,D,1
D1,17/09/17,Leverkusen,Freiburg,4,0,H,3
D1,19/09/17,Augsburg,RB Leipzig,1,0,H,1
D1,19/09/17,M'gladbach,Stuttgart,2,0,H,0
D1,19/09/17,Schalke 04,Bayern Munich,0,3,A,0
D1,19/09/17,Wolfsburg,Werder Bremen,1,1,D,1
D1,20/09/17,FC Koln,Ein Frankfurt,0,1,A,0
D1,20/09/17,Freiburg,Hannover,1,1,D,0
D1,20/09/17,Hamburg,Dortmund,0,3,A,0
D1,20/09/17,Hertha,Leverkusen,2,1,H,2
D1,20/09/17,Mainz,Hoffenheim,2,3,A,2
D1,22/09/17,Bayern Munich,Wolfsburg,2,2,D,2
D1,23/09/17,Dortmund,M'gladbach,6,1,H,3
D1,23/09/17,Hoffenheim,Schalke 04,2,0,H,1
D1,23/09/17,Mainz,Hertha,1,0,H,0
D1,23/09/17,RB Leipzig,Ein Frankfurt,2,1,H,1
D1,23/09/17,Stuttgart,Augsburg,0,0,D,0
D1,23/09/17,Werder Bremen,Freiburg,0,0,D,0
D1,24/09/17,Hannover,FC Koln,0,0,D,0
D1,24/09/17,Leverkusen,Hamburg,3,0,H,2
D1,29/09/17,Schalke 04,Leverkusen,1,1,D,1
D1,30/09/17,Augsburg,Dortmund,1,2,A,1
D1,30/09/17,Ein Frankfurt,Stuttgart,2,1,H,1
D1,30/09/17,Hamburg,Werder Bremen,0,0,D,0
D1,30/09/17,M'gladbach,Hannover,2,1,H,0
D1,30/09/17,Wolfsburg,Mainz,1,1,D,0
D1,01/10/17,FC Koln,RB Leipzig,1,2,A,0
D1,01/10/17,Freiburg,Hoffenheim,3,2,H,2
D1,01/10/17,Hertha,Bayern Munich,2,2,D,0
D1,13/10/17,Stuttgart,FC Koln,2,1,H,1
D1,14/10/17,Bayern Munich,Freiburg,5,0,H,2
D1,14/10/17,Dortmund,RB Leipzig,2,3,A,1
D1,14/10/17,Hannover,Ein Frankfurt,1,2,A,1
D1,14/10/17,Hertha,Schalke 04,0,2,A,0
D1,14/10/17,Hoffenheim,Augsburg,2,2,D,0
D1,14/10/17,Mainz,Hamburg,3,2,H,1
D1,15/10/17,Leverkusen,Wolfsburg,2,2,D,1
D1,15/10/17,Werder Bremen,M'gladbach,0,2,A,0
