Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
D1,13/08/2021,19:30,M'gladbach,Bayern Munich,1,1,D
D1,14/08/2021,14:30,Augsburg,Hoffenheim,0,4,A
D1,14/08/2021,14:30,Bielefeld,Freiburg,0,0,D
D1,14/08/2021,14:30,Stuttgart,Greuther Furth,5,1,H
D1,14/08/2021,14:30,Union Berlin,Leverkusen,1,1,D
D1,14/08/2021,14:30,Wolfsburg,Bochum,1,0,H
D1,14/08/2021,17:30,Dortmund,Ein Frankfurt,5,2,H
D1,15/08/2021,14:30,Mainz,RB Leipzig,1,0,H
D1,15/08/2021,16:30,FC Koln,Hertha,3,1,H
D1,20/08/2021,19:30,RB Leipzig,Stuttgart,4,0,H
D1,21/08/2021,14:30,Bochum,Mainz,2,0,H
D1,21/08/2021,14:30,Ein Frankfurt,Augsburg,0,0,D
D1,21/08/2021,14:30,Freiburg,Dortmund,2,1,H
D1,21/08/2021,14:30,Greuther Furth,Bielefeld,1,1,D
D1,21/08/2021,14:30,Hertha,Wolfsburg,1,2,A
D1,21/08/2021,17:30,Leverkusen,M'gladbach,4,0,H
D1,22/08/2021,14:30,Hoffenheim,Union Berlin,2,2,D
D1,22/08/2021,16:30,Bayern Munich,FC Koln,3,2,H
D1,27/08/2021,19:30,Dortmund,Hoffenheim,3,2,H
D1,28/08/2021,14:30,Augsburg,Leverkusen,1,4,A
D1,28/08/2021,14:30,Bielefeld,Ein Frankfurt,1,1,D
D1,28/08/2021,14:30,FC Koln,Bochum,2,1,H
D1,28/08/2021,14:30,Mainz,Greuther Furth,3,0,H
D1,28/08/2021,14:30,Stuttgart,Freiburg,2,3,A
D1,28/08/2021,17:30,Bayern Munich,Hertha,5,0,H
D1,29/08/2021,14:30,Union Berlin,M'gladbach,2,1,H
D1,29/08/2021,16:30,Wolfsburg,RB Leipzig,1,0,H
D1,11/09/2021,14:30,Freiburg,FC Koln,1,1,D
D1,11/09/2021,14:30,Greuther Furth,Wolfsburg,0,2,A
D1,11/09/2021,14:30,Hoffenheim,Mainz,0,2,A
D1,11/09/2021,14:30,Leverkusen,Dortmund,3,4,A
D1,11/09/2021,14:30,Union Berlin,Augsburg,0,0,D
D1,11/09/2021,17:30,RB Leipzig,Bayern Munich,1,4,A
D1,12/09/2021,14:30,Ein Frankfurt,Stuttgart,1,1,D
D1,12/09/2021,16:30,Bochum,Hertha,1,3,A
D1,12/09/2021,18:30,M'gladbach,Bielefeld,3,1,H
D1,17/09/2021,19:30,Hertha,Greuther Furth,2,1,H
D1,18/09/2021,14:30,Augsburg,M'gladbach,1,0,H
D1,18/09/2021,14:30,Bayern Munich,Bochum,7,0,H
D1,18/09/2021,14:30,Bielefeld,Hoffenheim,0,0,D
D1,18/09/2021,14:30,Mainz,Freiburg,0,0,D
D1,18/09/2021,17:30,FC Koln,RB Leipzig,1,1,D
D1,19/09/2021,14:30,Stuttgart,Leverkusen,1,3,A
D1,19/09/2021,16:30,Dortmund,Union Berlin,4,2,H
D1,19/09/2021,18:30,Wolfsburg,Ein Frankfurt,1,1,D
D1,24/09/2021,19:30,Greuther Furth,Bayern Munich,1,3,A
D1,25/09/2021,14:30,Ein Frankfurt,FC Koln,1,1,D
D1,25/09/2021,14:30,Hoffenheim,Wolfsburg,3,1,H
D1,25/09/2021,14:30,Leverkusen,Mainz,1,0,H
D1,25/09/2021,14:30,RB Leipzig,Hertha,6,0,H
D1,25/09/2021,14:30,Union Berlin,Bielefeld,1,0,H
D1,25/09/2021,17:30,M'gladbach,Dortmund,1,0,H
D1,26/09/2021,14:30,Bochum,Stuttgart,0,0,D
D1,26/09/2021,16:30,Freiburg,Augsburg,3,0,H
D1,01/10/2021,19:30,FC Koln,Greuther Furth,3,1,H
D1,02/10/2021,14:30,Dortmund,Augsburg,2,1,H
D1,02/10/2021,14:30,Hertha,Freiburg,1,2,A
D1,02/10/2021,14:30,Stuttgart,Hoffenheim,3,1,H
D1,02/10/2021,14:30,Wolfsburg,M'gladbach,1,3,A
D1,02/10/2021,17:30,RB Leipzig,Bochum,3,0,H
D1,03/10/2021,14:30,Mainz,Union Berlin,1,2,A
D1,03/10/2021,16:30,Bayern Munich,Ein Frankfurt,1,2,A
D1,03/10/2021,18:30,Bielefeld,Leverkusen,0,4,A
D1,15/10/2021,19:30,Hoffenheim,FC Koln,5,0,H
D1,16/10/2021,14:30,Dortmund,Mainz,3,1,H
D1,16/10/2021,14:30,Ein Frankfurt,Hertha,1,2,A
D1,16/10/2021,14:30,Freiburg,RB Leipzig,1,1,D
D1,16/10/2021,14:30,Greuther Furth,Bochum,0,1,A
D1,16/10/2021,14:30,Union Berlin,Wolfsburg,2,0,H
D1,16/10/2021,17:30,M'gladbach,Stuttgart,1,1,D
D1,17/10/2021,14:30,Leverkusen,Bayern Munich,1,5,A
D1,17/10/2021,16:30,Augsburg,Bielefeld,1,1,D
D1,22/10/2021,19:30,Mainz,Augsburg,4,1,H
D1,23/10/2021,14:30,Bayern Munich,Hoffenheim,4,0,H
D1,23/10/2021,14:30,Bielefeld,Dortmund,1,3,A
D1,23/10/2021,14:30,RB Leipzig,Greuther Furth,4,1,H
D1,23/10/2021,14:30,Wolfsburg,Freiburg,0,2,A
D1,23/10/2021,17:30,Hertha,M'gladbach,1,0,H
D1,24/10/2021,14:30,FC Koln,Leverkusen,2,2,D
D1,24/10/2021,16:30,Stuttgart,Union Berlin,1,1,D
D1,24/10/2021,18:30,Bochum,Ein Frankfurt,2,0,H
D1,29/10/2021,19:30,Hoffenheim,Hertha,2,0,H
D1,30/10/2021,14:30,Bielefeld,Mainz,1,2,A
D1,30/10/2021,14:30,Dortmund,FC Koln,2,0,H
D1,30/10/2021,14:30,Freiburg,Greuther Furth,3,1,H
D1,30/10/2021,14:30,Leverkusen,Wolfsburg,0,2,A
D1,30/10/2021,14:30,Union Berlin,Bayern Munich,2,5,A
D1,30/10/2021,17:30,Ein Frankfurt,RB Leipzig,1,1,D
D1,31/10/2021,14:30,Augsburg,Stuttgart,4,1,H
D1,31/10/2021,16:30,M'gladbach,Bochum,2,1,H
D1,05/11/2021,19:30,Mainz,M'gladbach,1,1,D
D1,06/11/2021,14:30,Bayern Munich,Freiburg,2,1,H
D1,06/11/2021,14:30,Bochum,Hoffenheim,2,0,H
D1,06/11/2021,14:30,Stuttgart,Bielefeld,0,1,A
D1,06/11/2021,14:30,Wolfsburg,Augsburg,1,0,H
D1,06/11/2021,17:30,RB Leipzig,Dortmund,2,1,H
D1,07/11/2021,14:30,Hertha,Leverkusen,1,1,D
D1,07/11/2021,16:30,FC Koln,Union Berlin,2,2,D
D1,07/11/2021,18:30,Greuther Furth,Ein Frankfurt,1,2,A
D1,19/11/2021,19:30,Augsburg,Bayern Munich,2,1,H
D1,20/11/2021,14:30,Bielefeld,Wolfsburg,2,2,D
D1,20/11/2021,14:30,Dortmund,Stuttgart,2,1,H
D1,20/11/2021,14:30,Hoffenheim,RB Leipzig,2,0,H
D1,20/11/2021,14:30,Leverkusen,Bochum,1,0,H
D1,20/11/2021,14:30,M'gladbach,Greuther Furth,4,0,H
D1,20/11/2021,17:30,Union Berlin,Hertha,2,0,H
D1,21/11/2021,14:30,Freiburg,Ein Frankfurt,0,2,A
D1,21/11/2021,16:30,Mainz,FC Koln,1,1,D
D1,26/11/2021,19:30,Stuttgart,Mainz,2,1,H
D1,27/11/2021,14:30,Bochum,Freiburg,2,1,H
D1,27/11/2021,14:30,FC Koln,M'gladbach,4,1,H
D1,27/11/2021,14:30,Greuther Furth,Hoffenheim,3,6,A
D1,27/11/2021,14:30,Hertha,Augsburg,1,1,D
D1,27/11/2021,14:30,Wolfsburg,Dortmund,1,3,A
D1,27/11/2021,17:30,Bayern Munich,Bielefeld,1,0,H
D1,28/11/2021,14:30,Ein Frankfurt,Union Berlin,2,1,H
D1,28/11/2021,16:30,RB Leipzig,Leverkusen,1,3,A
D1,03/12/2021,19:30,Union Berlin,RB Leipzig,2,1,H
D1,04/12/2021,14:30,Augsburg,Bochum,2,3,A
D1,04/12/2021,14:30,Bielefeld,FC Koln,1,1,D
D1,04/12/2021,14:30,Hoffenheim,Ein Frankfurt,3,2,H
D1,04/12/2021,14:30,Leverkusen,Greuther Furth,7,1,H
D1,04/12/2021,14:30,Mainz,Wolfsburg,3,0,H
D1,04/12/2021,17:30,Dortmund,Bayern Munich,2,3,A
D1,05/12/2021,14:30,Stuttgart,Hertha,2,2,D
D1,05/12/2021,16:30,M'gladbach,Freiburg,0,6,A
D1,10/12/2021,19:30,FC Koln,Augsburg,0,2,A
D1,11/12/2021,14:30,Bayern Munich,Mainz,2,1,H
D1,11/12/2021,14:30,Bochum,Dortmund,1,1,D
D1,11/12/2021,14:30,Freiburg,Hoffenheim,1,2,A
D1,11/12/2021,14:30,Hertha,Bielefeld,2,0,H
D1,11/12/2021,14:30,RB Leipzig,M'gladbach,4,1,H
D1,11/12/2021,17:30,Wolfsburg,Stuttgart,0,2,A
D1,12/12/2021,14:30,Greuther Furth,Union Berlin,1,0,H
D1,12/12/2021,16:30,Ein Frankfurt,Leverkusen,5,2,H
D1,14/12/2021,17:30,Stuttgart,Bayern Munich,0,5,A
D1,14/12/2021,19:30,Bielefeld,Bochum,2,0,H
D1,14/12/2021,19:30,Mainz,Hertha,4,0,H
D1,14/12/2021,19:30,Wolfsburg,FC Koln,2,3,A
D1,15/12/2021,17:30,M'gladbach,Ein Frankfurt,2,3,A
D1,15/12/2021,19:30,Augsburg,RB Leipzig,1,1,D
D1,15/12/2021,19:30,Dortmund,Greuther Furth,3,0,H
D1,15/12/2021,19:30,Leverkusen,Hoffenheim,2,2,D
D1,15/12/2021,19:30,Union Berlin,Freiburg,0,0,D
D1,17/12/2021,19:30,Bayern Munich,Wolfsburg,4,0,H
D1,18/12/2021,14:30,Bochum,Union Berlin,0,1,A
D1,18/12/2021,14:30,Ein Frankfurt,Mainz,1,0,H
D1,18/12/2021,14:30,Greuther Furth,Augsburg,0,0,D
D1,18/12/2021,14:30,Hoffenheim,M'gladbach,1,1,D
D1,18/12/2021,14:30,RB Leipzig,Bielefeld,0,2,A
D1,18/12/2021,17:30,Hertha,Dortmund,3,2,H
D1,19/12/2021,14:30,Freiburg,Leverkusen,2,1,H
D1,19/12/2021,16:30,FC Koln,Stuttgart,1,0,H
D1,07/01/2022,19:30,Bayern Munich,M'gladbach,1,2,A
D1,08/01/2022,14:30,Freiburg,Bielefeld,2,2,D
D1,08/01/2022,14:30,Greuther Furth,Stuttgart,0,0,D
D1,08/01/2022,14:30,Hoffenheim,Augsburg,3,1,H
D1,08/01/2022,14:30,Leverkusen,Union Berlin,2,2,D
D1,08/01/2022,14:30,RB Leipzig,Mainz,4,1,H
D1,08/01/2022,17:30,Ein Frankfurt,Dortmund,2,3,A
D1,09/01/2022,14:30,Hertha,FC Koln,1,3,A
D1,09/01/2022,16:30,Bochum,Wolfsburg,1,0,H
D1,14/01/2022,19:30,Dortmund,Freiburg,5,1,H
D1,15/01/2022,14:30,FC Koln,Bayern Munich,0,4,A
D1,15/01/2022,14:30,Mainz,Bochum,1,0,H
D1,15/01/2022,14:30,Stuttgart,RB Leipzig,0,2,A
D1,15/01/2022,14:30,Union Berlin,Hoffenheim,2,1,H
D1,15/01/2022,14:30,Wolfsburg,Hertha,0,0,D
D1,15/01/2022,17:30,M'gladbach,Leverkusen,1,2,A
D1,16/01/2022,14:30,Augsburg,Ein Frankfurt,1,1,D
D1,16/01/2022,16:30,Bielefeld,Greuther Furth,2,2,D
D1,21/01/2022,19:30,Ein Frankfurt,Bielefeld,0,2,A
D1,22/01/2022,14:30,Freiburg,Stuttgart,2,0,H
D1,22/01/2022,14:30,Greuther Furth,Mainz,2,1,H
D1,22/01/2022,14:30,Hoffenheim,Dortmund,2,3,A
D1,22/01/2022,14:30,Leverkusen,Augsburg,5,1,H
D1,22/01/2022,14:30,M'gladbach,Union Berlin,1,2,A
D1,22/01/2022,17:30,Bochum,FC Koln,2,2,D
D1,23/01/2022,14:30,RB Leipzig,Wolfsburg,2,0,H
D1,23/01/2022,16:30,Hertha,Bayern Munich,1,4,A
D1,04/02/2022,19:30,Hertha,Bochum,1,1,D
D1,05/02/2022,14:30,Augsburg,Union Berlin,2,0,H
D1,05/02/2022,14:30,Bielefeld,M'gladbach,1,1,D
D1,05/02/2022,14:30,FC Koln,Freiburg,1,0,H
D1,05/02/2022,14:30,Mainz,Hoffenheim,2,0,H
D1,05/02/2022,14:30,Stuttgart,Ein Frankfurt,2,3,A
D1,05/02/2022,17:30,Bayern Munich,RB Leipzig,3,2,H
D1,06/02/2022,14:30,Dortmund,Leverkusen,2,5,A
D1,06/02/2022,16:30,Wolfsburg,Greuther Furth,4,1,H
D1,11/02/2022,19:30,RB Leipzig,FC Koln,3,1,H
D1,12/02/2022,14:30,Bochum,Bayern Munich,4,2,H
D1,12/02/2022,14:30,Ein Frankfurt,Wolfsburg,0,2,A
D1,12/02/2022,14:30,Freiburg,Mainz,1,1,D
D1,12/02/2022,14:30,Greuther Furth,Hertha,2,1,H
D1,12/02/2022,14:30,M'gladbach,Augsburg,3,2,H
D1,12/02/2022,17:30,Leverkusen,Stuttgart,4,2,H
