Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,19/09/2020,17:00,Fiorentina,Torino,1,0,H
I1,19/09/2020,19:45,Verona,Roma,0,0,D
I1,20/09/2020,11:30,Parma,Napoli,0,2,A
I1,20/09/2020,14:00,Genoa,Crotone,4,1,H
I1,20/09/2020,17:00,Sassuolo,Cagliari,1,1,D
I1,20/09/2020,19:45,Juventus,Sampdoria,3,0,H
I1,21/09/2020,19:45,Milan,Bologna,2,0,H
I1,26/09/2020,14:00,Torino,Atalanta,2,4,A
I1,26/09/2020,17:00,Cagliari,Lazio,0,2,A
I1,26/09/2020,17:00,Sampdoria,Benevento,2,3,A
I1,26/09/2020,19:45,Inter,Fiorentina,4,3,H
I1,27/09/2020,11:30,Spezia,Sassuolo,1,4,A
I1,27/09/2020,14:00,Napoli,Genoa,6,0,H
I1,27/09/2020,14:00,Verona,Udinese,1,0,H
I1,27/09/2020,17:00,Crotone,Milan,0,2,A
I1,27/09/2020,19:45,Roma,Juventus,2,2,D
I1,28/09/2020,19:45,Bologna,Parma,4,1,H
I1,30/09/2020,17:00,Benevento,Inter,2,5,A
I1,30/09/2020,17:00,Udinese,Spezia,0,2,A
I1,30/09/2020,19:45,Lazio,Atalanta,1,4,A
I1,02/10/2020,19:45,Fiorentina,Sampdoria,1,2,A
I1,03/10/2020,14:00,Sassuolo,Crotone,4,1,H
I1,03/10/2020,19:45,Udinese,Roma,0,1,A
I1,04/10/2020,11:30,Atalanta,Cagliari,5,2,H
I1,04/10/2020,14:00,Benevento,Bologna,1,0,H
I1,04/10/2020,14:00,Lazio,Inter,1,1,D
I1,04/10/2020,14:00,Parma,Verona,1,0,H
I1,04/10/2020,17:00,Milan,Spezia,3,0,H
I1,17/10/2020,14:00,Napoli,Atalanta,4,1,H
I1,17/10/2020,17:00,Inter,Milan,1,2,A
I1,17/10/2020,17:00,Sampdoria,Lazio,3,0,H
I1,17/10/2020,19:45,Crotone,Juventus,1,1,D
I1,18/10/2020,11:30,Bologna,Sassuolo,3,4,A
I1,18/10/2020,14:00,Spezia,Fiorentina,2,2,D
I1,18/10/2020,14:00,Torino,Cagliari,2,3,A
I1,18/10/2020,17:00,Udinese,Parma,3,2,H
I1,18/10/2020,19:45,Roma,Benevento,5,2,H
I1,19/10/2020,19:45,Verona,Genoa,0,0,D
I1,23/10/2020,19:45,Sassuolo,Torino,3,3,D
I1,24/10/2020,14:00,Atalanta,Sampdoria,1,3,A
I1,24/10/2020,17:00,Genoa,Inter,0,2,A
I1,24/10/2020,19:45,Lazio,Bologna,2,1,H
I1,25/10/2020,11:30,Cagliari,Crotone,4,2,H
I1,25/10/2020,14:00,Benevento,Napoli,1,2,A
I1,25/10/2020,14:00,Parma,Spezia,2,2,D
I1,25/10/2020,17:00,Fiorentina,Udinese,3,2,H
I1,25/10/2020,19:45,Juventus,Verona,1,1,D
I1,26/10/2020,19:45,Milan,Roma,3,3,D
I1,31/10/2020,14:00,Crotone,Atalanta,1,2,A
I1,31/10/2020,17:00,Inter,Parma,2,2,D
I1,31/10/2020,19:45,Bologna,Cagliari,3,2,H
I1,01/11/2020,11:30,Udinese,Milan,1,2,A
I1,01/11/2020,14:00,Spezia,Juventus,1,4,A
I1,01/11/2020,14:00,Torino,Lazio,3,4,A
I1,01/11/2020,17:00,Napoli,Sassuolo,0,2,A
I1,01/11/2020,17:00,Roma,Fiorentina,2,0,H
I1,01/11/2020,19:45,Sampdoria,Genoa,1,1,D
I1,02/11/2020,19:45,Verona,Benevento,3,1,H
I1,04/11/2020,16:00,Genoa,Torino,1,2,A
I1,06/11/2020,19:45,Sassuolo,Udinese,0,0,D
I1,07/11/2020,14:00,Cagliari,Sampdoria,2,0,H
I1,07/11/2020,17:00,Benevento,Spezia,0,3,A
I1,07/11/2020,19:45,Parma,Fiorentina,0,0,D
I1,08/11/2020,11:30,Lazio,Juventus,1,1,D
I1,08/11/2020,14:00,Atalanta,Inter,1,1,D
I1,08/11/2020,14:00,Genoa,Roma,1,3,A
I1,08/11/2020,14:00,Torino,Crotone,0,0,D
I1,08/11/2020,17:00,Bologna,Napoli,0,1,A
I1,08/11/2020,19:45,Milan,Verona,2,2,D
I1,21/11/2020,14:00,Crotone,Lazio,0,2,A
I1,21/11/2020,17:00,Spezia,Atalanta,0,0,D
I1,21/11/2020,19:45,Juventus,Cagliari,2,0,H
I1,22/11/2020,11:30,Fiorentina,Benevento,0,1,A
I1,22/11/2020,14:00,Inter,Torino,4,2,H
I1,22/11/2020,14:00,Roma,Parma,3,0,H
I1,22/11/2020,14:00,Sampdoria,Bologna,1,2,A
I1,22/11/2020,14:00,Verona,Sassuolo,0,2,A
I1,22/11/2020,17:00,Udinese,Genoa,1,0,H
I1,22/11/2020,19:45,Napoli,Milan,1,3,A
I1,28/11/2020,14:00,Sassuolo,Inter,0,3,A
I1,28/11/2020,17:00,Benevento,Juventus,1,1,D
I1,28/11/2020,19:45,Atalanta,Verona,0,2,A
I1,29/11/2020,11:30,Lazio,Udinese,1,3,A
I1,29/11/2020,14:00,Bologna,Crotone,1,0,H
I1,29/11/2020,14:00,Milan,Fiorentina,2,0,H
I1,29/11/2020,17:00,Cagliari,Spezia,2,2,D
I1,29/11/2020,19:45,Napoli,Roma,4,0,H
I1,30/11/2020,17:30,Torino,Sampdoria,2,2,D
I1,30/11/2020,19:45,Genoa,Parma,1,2,A
I1,05/12/2020,14:00,Spezia,Lazio,1,2,A
I1,05/12/2020,17:00,Juventus,Torino,2,1,H
I1,05/12/2020,19:45,Inter,Bologna,3,1,H
I1,06/12/2020,11:30,Verona,Cagliari,1,1,D
I1,06/12/2020,14:00,Parma,Benevento,0,0,D
I1,06/12/2020,14:00,Roma,Sassuolo,0,0,D
I1,06/12/2020,17:00,Crotone,Napoli,0,4,A
I1,06/12/2020,19:45,Sampdoria,Milan,1,2,A
I1,07/12/2020,19:45,Fiorentina,Genoa,1,1,D
I1,11/12/2020,19:45,Sassuolo,Benevento,1,0,H
I1,12/12/2020,14:00,Crotone,Spezia,4,1,H
I1,12/12/2020,17:00,Torino,Udinese,2,3,A
I1,12/12/2020,19:45,Lazio,Verona,1,2,A
I1,13/12/2020,11:30,Cagliari,Inter,1,3,A
I1,13/12/2020,14:00,Atalanta,Fiorentina,3,0,H
I1,13/12/2020,14:00,Bologna,Roma,1,5,A
I1,13/12/2020,14:00,Napoli,Sampdoria,2,1,H
I1,13/12/2020,17:00,Genoa,Juventus,1,3,A
I1,13/12/2020,19:45,Milan,Parma,2,2,D
