Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
I2,26/08/16,Spezia,Salernitana,1,1,D,0
I2,27/08/16,Avellino,Brescia,1,1,D,0
I2,27/08/16,Bari,Cittadella,1,2,A,0
I2,27/08/16,Benevento,Spal,2,0,H,1
I2,27/08/16,Frosinone,Virtus Entella,2,0,H,1
I2,27/08/16,Pro Vercelli,Ascoli,1,1,D,0
I2,27/08/16,Verona,Latina,4,1,H,3
I2,27/08/16,Vicenza,Carpi,0,2,A,0
I2,28/08/16,Novara,Trapani,2,2,D,1
I2,29/08/16,Cesena,Perugia,1,1,D,0
I2,03/09/16,Brescia,Frosinone,2,0,H,1
I2,03/09/16,Perugia,Bari,0,1,A,0
I2,04/09/16,Carpi,Benevento,1,1,D,0
I2,04/09/16,Cittadella,Ternana,2,0,H,1
I2,04/09/16,Latina,Spezia,0,0,D,0
I2,04/09/16,Pisa,Novara,1,0,H,1
I2,04/09/16,Salernitana,Verona,1,1,D,0
I2,04/09/16,Spal,Vicenza,3,0,H,2
I2,04/09/16,Trapani,Pro Vercelli,1,1,D,0
I2,04/09/16,Virtus Entella,Avellino,2,0,H,1
I2,07/09/16,Ternana,Pisa,1,0,H,1
I2,09/09/16,Cesena,Carpi,1,0,H,0
I2,10/09/16,Ascoli,Spal,1,1,D,0
I2,10/09/16,Avellino,Trapani,0,0,D,0
I2,10/09/16,Benevento,Verona,2,0,H,1
I2,10/09/16,Brescia,Perugia,1,1,D,0
I2,10/09/16,Frosinone,Latina,2,1,H,0
I2,10/09/16,Novara,Salernitana,1,0,H,1
I2,10/09/16,Pro Vercelli,Cittadella,1,5,A,0
I2,10/09/16,Vicenza,Bari,0,0,D,0
I2,11/09/16,Ternana,Spezia,1,1,D,0
I2,12/09/16,Virtus Entella,Pisa,0,0,D,0
I2,16/09/16,Bari,Cesena,2,1,H,1
I2,16/09/16,Carpi,Frosinone,0,0,D,0
I2,16/09/16,Salernitana,Vicenza,2,3,A,1
I2,17/09/16,Cittadella,Novara,3,1,H,1
I2,17/09/16,Latina,Benevento,1,1,D,0
I2,17/09/16,Perugia,Ternana,1,1,D,0
I2,17/09/16,Pisa,Brescia,1,0,H,0
I2,17/09/16,Spal,Virtus Entella,2,2,D,2
I2,17/09/16,Spezia,Pro Vercelli,2,1,H,0
I2,17/09/16,Trapani,Ascoli,1,1,D,0
I2,17/09/16,Verona,Avellino,3,1,H,3
I2,19/09/16,Cesena,Salernitana,0,0,D,0
I2,20/09/16,Ascoli,Vicenza,2,0,H,1
I2,20/09/16,Avellino,Cittadella,0,1,A,0
I2,20/09/16,Benevento,Pro Vercelli,1,1,D,0
I2,20/09/16,Brescia,Carpi,2,2,D,2
I2,20/09/16,Frosinone,Pisa,0,0,D,0
I2,20/09/16,Novara,Latina,2,2,D,2
I2,20/09/16,Spal,Verona,1,3,A,0
I2,20/09/16,Ternana,Bari,0,0,D,0
I2,20/09/16,Trapani,Spezia,0,0,D,0
I2,20/09/16,Virtus Entella,Perugia,2,1,H,1
I2,24/09/16,Bari,Benevento,0,4,A,0
I2,24/09/16,Carpi,Virtus Entella,2,1,H,1
I2,24/09/16,Cittadella,Brescia,0,3,A,0
I2,24/09/16,Latina,Ternana,1,1,D,1
I2,24/09/16,Pisa,Ascoli,2,1,H,1
I2,24/09/16,Pro Vercelli,Cesena,1,0,H,1
I2,24/09/16,Salernitana,Trapani,2,0,H,2
I2,24/09/16,Spezia,Novara,1,0,H,0
I2,24/09/16,Vicenza,Avellino,0,0,D,0
I2,25/09/16,Verona,Frosinone,2,0,H,1
I2,26/09/16,Perugia,Spal,1,0,H,0
I2,27/09/16,Ascoli,Cesena,0,0,D,0
I2,30/09/16,Brescia,Bari,1,1,D,0
I2,01/10/16,Avellino,Pro Vercelli,3,2,H,2
I2,01/10/16,Benevento,Novara,1,0,H,1
I2,01/10/16,Frosinone,Perugia,1,2,A,1
I2,01/10/16,Spal,Salernitana,3,2,H,2
I2,01/10/16,Ternana,Verona,0,3,A,0
I2,01/10/16,Trapani,Cittadella,0,2,A,0
I2,01/10/16,Virtus Entella,Vicenza,4,1,H,2
I2,02/10/16,Ascoli,Spezia,0,2,A,0
I2,02/10/16,Cesena,Latina,2,2,D,1
I2,03/10/16,Carpi,Pisa,1,1,D,1
I2,08/10/16,Cittadella,Frosinone,2,3,A,1
I2,08/10/16,Novara,Ascoli,1,0,H,0
I2,09/10/16,Bari,Virtus Entella,1,1,D,1
I2,09/10/16,Latina,Trapani,2,0,H,2
I2,09/10/16,Perugia,Avellino,3,0,H,2
I2,09/10/16,Pisa,Spal,0,1,A,0
I2,09/10/16,Pro Vercelli,Ternana,1,0,H,0
I2,09/10/16,Salernitana,Benevento,2,1,H,2
I2,09/10/16,Spezia,Carpi,0,1,A,0
I2,09/10/16,Verona,Brescia,2,2,D,0
I2,09/10/16,Vicenza,Cesena,0,0,D,0
I2,14/10/16,Cesena,Spal,1,1,D,0
I2,15/10/16,Ascoli,Verona,1,4,A,0
I2,15/10/16,Avellino,Spezia,1,0,H,0
I2,15/10/16,Brescia,Salernitana,1,1,D,0
I2,15/10/16,Carpi,Latina,2,0,H,1
I2,15/10/16,Perugia,Cittadella,2,0,H,0
I2,15/10/16,Pisa,Vicenza,0,1,A,0
I2,15/10/16,Virtus Entella,Benevento,3,2,H,2
I2,16/10/16,Frosinone,Bari,3,1,H,2
I2,16/10/16,Pro Vercelli,Novara,2,1,H,0
I2,17/10/16,Trapani,Ternana,2,2,D,1
I2,21/10/16,Cittadella,Ascoli,0,1,A,0
I2,21/10/16,Spezia,Brescia,2,0,H,1
I2,22/10/16,Bari,Trapani,3,0,H,1
I2,22/10/16,Benevento,Perugia,0,0,D,0
I2,22/10/16,Latina,Pisa,1,1,D,1
I2,22/10/16,Novara,Avellino,1,0,H,0
I2,22/10/16,Salernitana,Virtus Entella,1,1,D,0
I2,22/10/16,Spal,Carpi,3,1,H,1
I2,22/10/16,Ternana,Cesena,1,1,D,1
I2,22/10/16,Verona,Pro Vercelli,3,0,H,1
I2,22/10/16,Vicenza,Frosinone,1,1,D,0
I2,24/10/16,Spezia,Cittadella,1,1,D,0
I2,25/10/16,Ascoli,Salernitana,0,0,D,0
I2,25/10/16,Avellino,Ternana,1,0,H,1
I2,25/10/16,Brescia,Vicenza,2,1,H,0
I2,25/10/16,Cesena,Virtus Entella,0,1,A,0
I2,25/10/16,Frosinone,Spal,2,1,H,2
I2,25/10/16,Novara,Bari,1,0,H,1
I2,25/10/16,Perugia,Carpi,0,2,A,0
I2,25/10/16,Pisa,Verona,0,0,D,0
I2,25/10/16,Pro Vercelli,Latina,1,1,D,0
I2,25/10/16,Trapani,Benevento,1,0,H,1
I2,29/10/16,Bari,Pro Vercelli,2,0,H,1
I2,29/10/16,Benevento,Spezia,1,0,H,0
I2,29/10/16,Carpi,Ascoli,0,2,A,0
I2,29/10/16,Cittadella,Latina,2,1,H,1
I2,29/10/16,Frosinone,Cesena,2,1,H,1
I2,29/10/16,Salernitana,Pisa,0,0,D,0
I2,29/10/16,Ternana,Novara,4,3,H,3
I2,29/10/16,Virtus Entella,Brescia,4,0,H,1
I2,30/10/16,Verona,Trapani,2,0,H,1
I2,30/10/16,Vicenza,Perugia,1,4,A,0
I2,31/10/16,Spal,Avellino,3,0,H,1
I2,04/11/16,Brescia,Cesena,3,2,H,2
I2,05/11/16,Cittadella,Salernitana,2,0,H,1
I2,05/11/16,Latina,Bari,2,1,H,2
I2,05/11/16,Novara,Spal,0,1,A,0
I2,05/11/16,Pisa,Perugia,0,1,A,0
